,video_aid,爬取时间,video_cid,上传时间,审核时间,播放时长,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,有无广告,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
count,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0,8182.0
mean,600015826.8323148,1676519904.8177707,1003119251.7754828,1676150351.8121486,1676100661.8912246,324.57650941090196,6.609630897091176,13.624175018332926,5.250916646296749,53.7621608408702,0.008433145930090442,91.12026399413347,9.731239305793205,9.479833781471523,2147.9833781471525,1.0166218528477144,0.0002444390124663896,15.111219750672207,5.69127352725495,0.0,60.61684184795894,101.31080420435102,10.791737961378637,10.624175018332926,2456.5391102419944,3.0248105597653385,10122.561843070154,346.8781471522855,-0.09667041583128948,-0.09667041583128948,0.476778293815693,0.0006110975311659741,4.277233861366869,0.17126085537464747,1.0543876802737717,0.5444879002688829,0.31395482598359437,0.6021841726348903
std,228392176.07481152,6146.343952231616,6194433.677142799,195946.4367076187,370223.2267552893,349.0407396246896,3.2016749582423785,182.48193723814364,39.58883204333759,960.8076821984154,0.7628152261040635,2295.075363053492,82.340580226812,123.42249731506548,38021.35425947781,0.12785759596881976,0.015633589914002752,195.36517973248627,41.80101721935977,0.0,1049.689571971796,2399.4305648729924,88.26606963719043,130.33885830923398,40579.074415785886,1.3889202837537387,68037.37419656295,801.7105027946545,0.21977669590949053,0.21977669590949053,0.4994909859633848,0.0247143428497309,2.33891416836351,0.3844959782933321,5.538398120785796,5.884593846506134,0.6979601233911832,3.9482921173794088
min,223528662.0,1676508825.0,584028911.0,1675839192.0,1650798163.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0164930555555555,0.0,0.0,0.0,0.0,0.0
25%,436462823.5,1676514557.5,1000317767.75,1675986218.5,1675933451.0,112.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,26.25,17.0,-0.0580065359477124,-0.0580065359477124,0.0,0.0,2.1036747685185184,0.0177935943060498,0.0,0.0,0.0,0.0
50%,566836878.0,1676520188.0,1003064122.5,1676129346.0,1676099040.5,186.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,59.0,3.0,504.0,83.0,-0.0120481927710843,-0.0120481927710843,0.0,0.0,4.523634259259259,0.0801209372637944,0.0,0.0,0.0,0.0
75%,779384553.5,1676525253.0,1006411290.75,1676332800.0,1676291797.75,361.0,10.0,2.0,0.0,8.0,0.0,12.0,3.0,2.0,204.0,1.0,0.0,2.0,0.0,0.0,9.0,13.0,3.0,2.0,237.75,4.0,3268.0,286.75,-0.0034843205574912,-0.0034843205574912,1.0,0.0,6.238825231481481,0.1708423448599872,0.0,0.0,0.1111111111111111,0.0
max,991999929.0,1676529672.0,1010015620.0,1676507400.0,1676507052.0,1800.0,13.0,8838.0,1887.0,58358.0,69.0,190331.0,4750.0,8587.0,2771772.0,2.0,1.0,9129.0,1979.0,0.0,66684.0,194411.0,4829.0,8821.0,2835588.0,6.0,2144804.0,8170.0,1.0,1.0,1.0,1.0,7.991666666666666,12.476009804966427,283.0,283.0,8.466666666666667,261.94
