发送时间,视频内弹幕出现时间,弹幕文本
1676196306,28.90400,《5帧》
1676194309,82.96400,看我72变
1676193874,55.25500,突然觉得跳的还可以
1676189843,124.77600,两倍加5倍就行了
1676188910,89.73600,哈哈哈哈哈
1676187665,40.71700,草
1676177920,60.53500,474
1676171071,55.07900,网易
1676170893,117.81600,鬼  影  步
1676170877,102.97200,0.5和2倍，两片天地！
1676169560,89.99000,卧槽
1676142535,111.13800,格里扎（确信）
1676140128,82.75600,影分身之术
1676133728,82.87100,哈哈哈哈
1676129748,43.75800,五帧不是不能动吧，只是画面直接闪动
1676125929,110.53800,这是什么PPT
1676125776,33.53100,《先看原片》
1676125461,95.65900,斯安威斯坦一型
1676124954,95.52500,拖影很严重啊
1676121936,29.08900,666个人出来
1676121484,54.99900,吓得我飞到了天上
1676121123,55.30400,你干嘛？
1676120582,90.07100,哪来的幻术
1676117367,33.56700,631人给我出来
1676116991,75.12600,我家鸽鸽真厉害，自带动态模糊
1676116756,113.06300,多一眼就会爆炸，真爆炸了。
1676114453,142.12000,双倍快乐《白嫖的感觉真好》
1676114428,128.12500,只因     ，鬼   影  迷  踪
1676114341,74.91900,只因     乾坤大魔移
1676113734,3.59900,651人进入直播间
1676111314,89.20100,？
1676110537,119.09200,第1145个粉丝
1676110364,89.26000,空间都探索了
1676109707,74.29200,可恶，是幻术吗？什么时候
1676106634,60.59600,↓哇两个劳工，天天受苦
1676106618,96.30600,和我小时候看过的西游记一样一样的
1676105611,54.90700,热知识：长按可以补帧
1676105411,64.48900,648个人
1676103920,39.03300,这个5帧？这很流畅呀
1676103702,15.01900,2倍速自动补帧
1676103579,127.82500,一眼订帧
1676102026,96.05900,我的痛苦在你之上！！！
1676101168,6.54000,654ikun都出来吧
1676096161,99.14700,电只因小子
1676095493,26.20400,每一帧都是表情包
1676093435,39.18600,最起码都是30针
1676092479,82.16500,114514
1676091437,82.28200,6
1676090811,57.43300,不是两针
1676089442,75.18400,1 1 4 5 1 4
1676085585,82.19600,卧槽
1676084933,82.68500,你这是flash水平的补帧把
1676084737,48.53900,432个人出来
1676083792,95.79300,四蛋都怕我（幻
1676083459,48.45400,连续眨眼可以补帧
1676083288,70.90000,当你动态模糊开的过于高时↓
1676079410,95.69300,类人群星闪耀时
1676072148,75.17900,1 1 4 5 1 4
1676048314,75.58000,6
1676048214,82.33900,中月读了
1676047995,60.09400,5帧电竞
1676047795,90.20000,笑死我对你有什么好处？
1676035337,110.28800,哈哈哈哈
1676033617,96.18500,厉不厉害你坤哥
1676029599,104.25900,帅到模糊
1676025243,149.22100,有点惊悚了（
1676025173,33.37900,主告登场
1676024132,102.66400,是你吗，格力扎
1676023463,74.80300,114514
1676022693,110.26900,厉不厉害你坤哥
1676020766,60.17800,只要我眨眼眨的够快它就是流畅的
1676017579,117.02100,每帧都是表情包
1676010972,3.71000,推荐1.25食用
1676009411,55.55900,定格动画
1676009399,95.76500,斯安威斯坦
1676004347,75.35500,1  1  4  5  1  4
1675999178,90.17900,为什么我看着有点头晕
1675998176,33.56800,和动画三体罗辑一模一样？！
1675994826,136.01900,这不是葵花点穴手特效吗
1675986375,16.53200,AI少女！
1675977694,74.84000,哈哈哈哈哈哈
1675974187,75.56500,小提示：0.5倍子弹时间
1675961123,61.11400,《2坤帧》
1675959957,54.93100,一坤帧
1675959756,48.38300,DNA补帧（bushi
1675957822,82.66300,快开垂直同步
1675956868,89.33900,月读写轮眼
1675955929,110.14000,《闪电尖兵》
1675954674,103.20000,长按为UP主助力
1675953332,48.36100,帧没数值真可爱
1675946481,34.52600,原片’
1675943973,125.64600,但凡你把视频开头那一段变成120帧的也不至于这样
1675940745,48.29700,《 2 帧 半 》
1675938320,89.32300,表情逐渐扭曲
1675933544,70.20400,这个是补帧产生的果冻不是运动模糊
1675927125,135.43900,看一眼就会爆炸（bushi）
1675926411,39.51200,明明是25帧
1675925359,95.95000,《跳到模糊》
1675923048,127.05800,为什么我感觉甚至有点流畅……
1675921744,110.34900,我打游戏就这样
1675917066,70.78000,可恶，是幻术吗？什么时候
1675909592,102.93100,《得意忘形》
1675908264,54.91800,古惑仔
1676196236,60.99500,睡觉补帧
1676194373,95.31700,移形换影  奥义
1676194239,88.64900,幻术！是幻术！！
1676182058,88.52000,自在只因意
1676178695,88.47800,愣着干啥，截表情包啊！
1676177914,54.42500,464
1676177777,39.87600,你管这叫5帧的视频？？？
1676176561,95.42000,《力场太强》
1676139603,103.45200,6
1676138490,88.45100,哈哈哈哈哈哈哈
1676134267,103.99300,厉不厉害你只因哥
1676127843,89.09800,《坤坤快到出现了残影》
1676124237,40.33100,561个人出来吧
1676120991,18.23300,676个人给我出来
1676120461,33.81900,641人出来
1676114225,81.24100,114514
1676110458,110.67700,流畅中带着卡顿
1676110155,74.61500,1               1                      4                  5                     1                 4
1676109739,74.29200,可恶，是幻术吗？什么时候
1676109719,74.29200,可恶，是幻术吗？什么时候
1676109713,74.29200,可恶，是幻术吗？什么时候
1676109693,74.29200,可恶，是幻术吗？什么时候
1676107939,103.74000,原来表情包是真的
1676104534,54.74500,自行脑补
1676104368,128.45100,融化了···
1676104249,4.75400,好家伙，我卡了
1676099073,104.01200,不能再看了，快要爆炸了
1676099049,81.14900,画风逐渐离谱
1676092300,103.72100,怎么有van的声音
1676089903,123.48900,我猜你用的Blurrr
1676089410,85.41100,537人？好多人看这个啊
1676088707,95.40600,每一帧都是一个表情包
1676088414,110.82000,踏马的怎么能这样好笑
1676087680,82.97100,开动态模糊了
1676084181,49.01200,动态图帧数
1676082314,28.29900,小黑子
1676082105,118.85900,抓着只因
1676081888,81.28400,幻术吗，什么时候（doge）
1676079074,149.27600,啊，我的眼睛
1676078571,60.88100,《2坤帧》
1676077572,110.65900,火了蕨我（迫不及待
1676070629,104.01900,幻影之舞
1676055725,39.99000,有加速的
1676044239,54.80900,不是两帧半我不是很认可
1676043293,82.01100,吓我一跳 我释放忍术！
1676038738,54.20600,这不dcs吗
1676034072,111.04400,主要是播放软件只能播放60帧呐
1676032285,96.36500,《瞬间移动》
1676029034,34.30700,我爱我们家哥哥两年半了
1676028147,4.54100,444个粉丝（悲）
1676020949,70.12700,动 态 模 糊
1676020747,95.60800,飞翔的中分
1676017240,40.44600,这段舞越看越上头
1676016708,136.11600,再多看一眼就会曝炸
1676016380,75.67000,手机电满了
1676014785,4.62000,《DLSS》
1676011390,54.37200,造梦无双玩家：好快
1676009421,60.65000,2坤/s
1676007881,95.63500,这不如不补
1676006060,123.32000,厉不厉害，你坤哥
1676003799,34.35000,可是5帧不是ppt么
1676003548,81.72600,害怕
1675998608,82.08300,汽车人，变形！
1675998325,70.12300,幻  影  之  舞
1675987947,4.85900,《粥》
1675984122,111.05000,国产片同款特效
1675973985,48.18600,小提示：0.75背复原
1675959744,14.23600,你这视频没有高帧咋也看不出120帧啊
1675956427,118.99400,喝了假酒
1675952287,88.70200,这个叫瞬移
1675949421,118.17900,晕眩+30秒
1675945075,74.41100,长按恢复原速度
