发送时间,视频内弹幕出现时间,弹幕文本
1675854970,1047.06500,真棒up
1675853496,316.63500,在大观园顺路啊，也不是故意的吧。。。
1675851155,149.14700,黛玉该生气，下人敢欺负小姐是该收拾的。姨娘通知她的送花顺序，最后一个是王熙凤，她为了巴结主子故意改顺序，另外林家身份本就高贵，又是做客，还不是孤女呢，做法就不合规矩。迎春就是挨下人欺负的典范。
1675848987,367.89300,那是他们贴身丫鬟把宝林的事情传出去才有的说法
1675842359,761.36700,但是，888真的好开心啊
1675841939,932.66000,我有个朋友就这样 我跟她因为超级小的事情闹了一次别扭  就把我拉黑 绝交了 还有宿舍其他人也莫名被她删了
1675841804,751.45600,呃，前面那个说像林黛玉的。林黛玉其实其他人都挺喜欢的。毕竟他对其他人脾气都挺好的。
1675841505,835.90300,"对的！！！黛玉她是独立个体！！！不是宝玉的依附物,她是红楼梦的女性主角！！！不是因为恋爱婚姻关系才这么说"
1675840715,658.31000,哈哈哈哈哈哈哈你是懂的
1675838874,69.13900,可以的
1675830199,732.77900,是，第四型，infp
1675827196,61.78700,红楼梦真的不是电视演的那么简单
1675822950,917.58500,不发脾气也可以呀，那你做到100%完美让她无从发脾气呀
1675819603,379.98600,不是吧，书中有提过，人人都知道林黛玉爱哭
1675819391,638.04500,我已经开始生气了
1675789988,706.06800,《讽汉元帝》莫怨东风当自嗟
1675789643,752.97900,Up说的太好了，抠搜的我决定给你投俩硬币
1675787388,778.16700,林妹就是INFP啊，intj也是最现实的理想主义者，Fi在三位
1675785110,226.38600,周瑞家是故意的
1675784245,745.73500,太会说话了
1675783440,763.56400,红红火火
1675780480,16.54000,情绪这个事情是对事对人的，她又不会无缘无故发脾气
1675779970,658.68400,原书就是这样说的明明白白的
1675778643,34.32800,实惠？ 你没事吧？
1675778160,746.62600,所以林妹妹有傲气，堪怜咏絮才
1675777739,233.48800,小猫！
1675777725,764.07300,我悟了大师
1675776052,918.95300,宝钗作者描写的不多，不太了解她的真实想法
1675775326,757.80600,这里妹妹说的是无力足境，是方干净
1675773323,382.86200,我听你abc
1675770474,737.79100,INFP
1675770175,423.77400,当然是后者
1675766438,1003.10800,黛玉说到底也是大家闺秀，怎么会容不下妾室？袭人怕黛玉是她自己的问题
1675765682,714.05000,卫子夫
1675765487,519.21400,是的
1675764788,618.96000,啊 这
1675764598,338.69800,666
1675762496,77.13700,曾经以为87版是神作，但看得越多越觉得只是一部好剧罢了
1675760787,731.99900,第四型人格
1675760245,88.96400,跑题了
1675760177,484.94900,宝玉使眼色就在湘云那默认了黛玉是个开不起玩笑的，放到现在就是你男朋友对着你们新认识的姐妹暗戳戳说你事儿多，谁不生气
1675751878,752.34900,为什么不能追求傻傻的开心呢
1675750753,809.66600,然后她早逝了
1675750151,376.25000,比如预感贾府坐吃山空
1675750116,374.93000,比如送500钱给老妈妈打酒
1675750065,338.36200,比如饭后喝茶的问题
1675749906,760.67800,对 我就缺这个
1675746949,883.75100,黛玉只对宝玉生气，其他人根本不在意
1675744993,801.81200,林黛玉双鱼座 农历换算过来是双鱼
1675744934,736.18000,infp
1675743286,1058.21500,真的会哭啊
1675731945,382.74400,林黛玉，妥妥双鱼座
1675731279,778.07900,可是有人给我转红包，我确实很开心呀
1675729327,39.85900,林黛玉没有一直吵架，但是她确实嘴很厉害
1675721115,560.26600,你怎么这个都懂!
1675718062,396.64200,薛宝钗才是情绪不稳定吧，被冒犯了迁怒小丫头，把人家骂跑了
1675717961,363.44300,袭人喜欢宝钗是因为利益关系，并不能说明宝钗人品更好，谢谢
1675705956,41.97900,她是开悟者，她是有智慧的
1675702979,618.93900,博主声音好好听！！爱了爱了 思路好清晰
1675699138,688.49600,不拒绝，不主动，不负责的典型渣男
1675698456,732.55900,黛玉是一个理想主义者
1675697069,755.59800,黛玉在精神上就是一种极致的美
1675697032,751.49400,很纯粹的黛玉
1675695816,795.05300,如果能通透地理解很多事情的根源就不会情绪不稳定了，心情只会很平静
1675694853,754.61800,男人就不见莲花，开始觉得牡丹美
1675694053,728.80300,先看电视剧的也沒看出她作，只觉俏皮可爱
1675694045,30.21800,吵架帮手
1675693987,720.89600,我是先看得电视剧也沒觉得黛玉作啊，还是人的理解能力问题
1675692730,772.65900,哈哈哈哈哈哈
1675692563,4.77400,每天一遍（1/1）√
1675691691,823.09800,她不是谁的附属品！！！
1675690764,735.43800,林黛玉能在守礼节有分寸的同时保持真我，这点很难得
1675690163,758.36100,哈哈哈哈哈
1675689753,571.08800,“他有什么错，他只是犯了全天下男人都会犯的错”
1675688824,436.01700,宝钗是大庭广众下生气，林黛玉可从来没有
1675688669,1012.27800,有一回元春回大观园  黛玉还直接帮宝玉作诗  再把纸揉成团子偷偷丢给宝玉
1675688063,883.42000,不在意的人说什么都没关系
1675686756,313.68400,这个我能看出来电视机
1675686549,106.30500,怎么可能完美哈哈哈
