发送时间,视频内弹幕出现时间,弹幕文本
1676175960,29.17900,咋了，一生也跟徐云一样开始流浪了吗
1676174473,344.55400,饭量小的俩人吃正好，当然这么一碗正常俩人吃绝对不够
1676173995,416.89400,真羡慕一生这样的状态
1676173749,85.35300,烧烤博主变成流浪博主了？
1676172954,452.98700,一盆在南湖对面
1676172446,191.42000,离我家不远
1676172261,68.70400,回家
1676172010,370.38700,说词
1676167801,135.16100,这就是传说中的差生文具好吗~~
1676167227,384.64300,你们就是在涛（套）娃呢，是吧
1676166094,190.52700,哈哈哈哈哈哈哈
1676163435,384.65900,哈哈哈
1676162714,444.50700,一盆在经开区嘛，线下单杀哦
1676162114,2.21900,天蚕土豆：?
1676161820,465.35000,路人:  这人护食，你看
1676161743,440.40600,看的我也想吃面，我在啃面包
1676161627,388.57300,hhh
1676161586,401.17900,无限套娃
1676161483,212.07000,来个我吃西红柿
1676161228,513.59700,怎么回事啊，都劝回家啊
1676160751,85.40100,走嘛，带我们去西藏
1676158649,398.57700,睡醒吃完饭想家了，回去看看再走
1676157967,388.81900,自驾原地吃饭睡觉
1676153691,435.59000,一个城市一个城市走
1676150958,142.81700,出去玩还是住旅店吧，小地方就几十块人也舒服点还安全
1676147859,485.49900,真便宜
1676141296,234.70200,看到绵阳的图腾了
1676139839,246.01500,后面那高楼是神州南都
1676139274,383.42400,属于是被激将了
1676138591,395.24100,从前有座山，山上有座庙……
1676138505,334.76500,我在成都28年真没吃过三两这么多的
1676138396,452.68400,假装嚼两下
1676137953,385.49800,网友们是懂一盆的
1676137368,363.15500,去西藏吧
1676137128,386.07400,哈哈哈哈哈
1676136911,394.51600,哈哈哈哈哈
1676136894,55.27200,那洗澡怎么办
1676135352,508.43600,还没感染啊 以为全都得了呢
1676134944,423.65900,哈哈哈哈哈哈哈
1676134318,127.31900,他还是这么爱干净
1676133917,306.83900,真舒服，比我大，还能无忧无虑一路向西
1676133853,211.68900,就地取材是吧（bushi）
1676133656,115.77900,牛阿
1676133384,477.80100,哈哈哈
1676133349,446.39900,看饿了
1676132967,344.94700,买个支架
1676132826,220.51000,来一份西红柿
1676132515,420.15500,哈哈哈哈哈哈
1676132343,363.42200,这一碗真的也太多了吧
1676132047,392.16900,哈哈哈哈哈哈哈哈
1676131896,245.70800,这分量还挺良心
1676131833,58.77200,哈哈哈哈哈哈哈哈
1676131246,177.37900,直接买压缩毛巾啊
1676130979,102.03500,做个计划吧
1676129466,388.29800,禁止套娃
1676129221,170.15200,笑死我了
1676128853,437.43900,炫面
1676128482,71.61400,遇事不绝先吃饭
1676128158,116.01900,一路走一路调整，会越来越好的
1676128051,30.77900,闷不闷啊
1676128042,79.67900,我咋感觉你是出来流浪的
1676127819,268.11900,怎么用热水洗脚？车上有火尧水壶吗？
1676127584,185.61900,安全意识到位
1676127558,38.25900,859个沉默波比
1676127545,204.31900,我爱吃西红柿
1676127216,426.13900,哈哈哈哈哈哈
1676126629,231.38400,你报完一遍 老板都给你做了
