发送时间,视频内弹幕出现时间,弹幕文本
1675857208,72.07800,学习资料？我的是英语9级
1675853286,14.88800,流浪地球比三体出得早
1675852043,111.10500,好骂！！！！
1675846274,5.05800,忍一时，越想越气；退一步，火冒三丈
1675841512,284.37800,四体运动（确信）
1675838349,154.79800,2000年半（doge）
1675836849,126.60300,穿山甲
1675835287,197.46300,变声期？
1675835130,4.70000,回调晓蛇
1675832676,49.88800,我吕布嘌呤半升!!
1675832356,29.09200,兔女郎！
1675827016,162.71200,但也不是空无一物。
1675826915,19.14600,双向奔赴……
1675826128,176.09900,石头都烧完了，还送什么球。。。。
1675825749,134.72400,准确的说，是所有还活着的人类有一个算一个
1675824873,110.45600,虫子
1675824427,116.46800,就算懂这个道理，他肯定也会！！！
1675824278,25.30500,你们懂什么？这是拿地球作为最后一颗炮弹撞击三体
1675823802,300.87300,光进入三体星轨道就得停车做百年
1675823741,239.27200,现在有一种说法，30亿年后，当太阳内部的氢元素烧尽后太阳就进入晚年了。就会开始聚成氦这种重元素继续烧。太阳会膨胀。估计到时候就氦闪了。把地球都会吞掉。
1675823267,295.82900,拐一个太阳回去doge
1675823004,176.83100,加速减速才要燃料，真加速到1%的光速以后发动机就可以关了
1675820173,56.26600,三体人：我要告叶文洁电信诈骗
1675819612,176.03900,哈哈哈
1675818404,265.51000,我在想在小行星带不能采集吗?
1675816048,69.29900,一起看
1675815513,60.89500,地球人要有骨气
1675813363,19.04500,有big刘的地方就会有王司徒
1675812379,288.58000,等人类航行到一半说不定科技爆炸就可以手搓恒星了
1675800177,156.01900,没说不让出门，不过出去等于死
1675800016,56.61500,不允许他们不让我生，但是我自己不生
1675797804,151.34800,我绝对受得了 不出门而已
1675796578,64.18800,想得美！！热巴是我的！！
1675795939,18.91800,但是都有罗辑
1675794784,155.81600,片段来源：《没有人可以能活到这个短片结束》
1675793537,254.01900,人类可以用几十上百年毁灭自己，但想瞬间自刹那是想屁吃
1675792017,118.14900,mjh
1675791261,197.54400,还有碳和氧
1675790633,110.07200,你最好说的是罗辑
1675787985,110.30900,阿美，说的就是你！
1675787294,4.69900,大刘高中校友探个头
1675785285,231.46900,辐分是吧
1675783964,239.89500,你聚变氢才有多少氢
1675783863,85.88800,蚊子饼是现实中就有的东西 
1675783226,131.81300,根本没有疫情是吧
1675782747,281.06400,原著哪有反物质炸弹和遗传记忆，那都是别的小说里的
1675782715,232.41900,不完全正确吧，加速到一定速度就够了。后面惯性滑行的
1675782612,141.61900,小说里看着解气又无奈
1675782110,14.89400,双方半路碰面，地球人：沃日，三体人：沃晶
1675781795,266.88500,维德快乐物
1675781437,79.41800,最大的危机其实是人类自己
