发送时间,视频内弹幕出现时间,弹幕文本
1675856725,725.86000,哥们都在认真看呢，没时间发
1675856302,106.55500,145
1675856273,193.37900,看起来就很肝
1675855511,126.35200,NEI》JEI》REI 
1675855475,1034.53000,比无中生有快多了
1675855288,16.91500,新坑！
1675851556,1316.35500,这不是毛巾，这是一个压缩石头
1675849743,577.70700,石磨可以在底下接动力
1675848696,512.73400,又要私下完结了
1675847774,720.79200,太熟练了
1675845338,1448.68900,所以这个自动锤是红石能是吧(我的世界中一个红石火把都能提供无限时间的红石能量，脉冲红石、循环红石就是永动机，脉冲红石应该mc玩家的是常识吧，两个侦测器就能做最简单的，至少大部分知道)
1675843955,382.38800,EMC还有等价交换啊
1675840499,1302.54600, 玛雅这速度 我玩的时候搞半天没搞明白
1675836417,445.06400,石之生存2奇点原材料都有价格，就不用做自动化，没意思
1675836062,855.26200,确实
1675835521,122.15300,这个音乐是什么呀
1675834356,156.98700,泡世界
1675832583,306.75000,bonsai tree要是加进去更有意思了
1675832009,919.11000,这里看水车叶片，然后应用一下简单的物理就知道了
1675831236,192.03400,石粒
1675829847,873.15400,他这个开局靠的是作者魔改，机械动力本身可不行
1675829739,51.41300,过得好快
1675829552,1196.77000,两眼一黑
1675824473,751.46500,《去喝杯茶，别破坏游戏》
1675823379,1185.98200,置物台：那我走？
1675823207,1004.82000,传动结构不包壳，我一个包壳强迫症有点受不了
1675822599,387.77400,匠魂（炉子），无中生有，各类科技mod，空岛经典老三样了
1675822302,127.25200,哈哈哈，典型案例：ae伪装板
1675820128,272.96300,`
1675820118,427.89900,没emc的也要的不多啊100个都没有
1675814136,895.57100,岩浆鼓风机是正解
1675808280,84.72900,就是因为看了秋明的石头世界2，才慢慢接触到了整合包以及众多的模组
1675800552,485.46100,梦回千层饼生存
1675800017,452.30100,这是农夫乐事不是潘马斯了
1675796205,1084.50900,bgm：Re...Japanesque
1675796017,1286.88200,粉碎轮才能增产
1675795738,1038.81800,溜槽要铁板
1675795479,787.59200,我一开始开出了破坏小帮手和岩浆发电机
1675795287,555.64700,↑看到了
1675793324,192.13100,○！
1675793295,1004.03200,石磨底下不是有个接应力的口吗？
1675793185,914.27200,前面怎么还有人说两边都搞上的？
