发送时间,视频内弹幕出现时间,弹幕文本
1675857676,62.07100,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1675850752,19.44300,没有学生的寒假是没有意义的
1675845776,61.99700,超燃啊我靠
1675840577,4.49700,世界末日开学
1675830736,34.32200,流浪学校计划
1675823055,12.90500,ea卡带超级好评
1675792333,53.77000,在被台词逗笑和对BGM肃然起敬的边缘反复横跳
1675774399,19.33700,哈哈哈哈哈哈哈哈哈
1675771519,33.72600,不会丰城的
1675761282,74.85700,啊这只有一所学校耶
1675752823,74.72900,哈哈哈哈哈哈哈哈哈
1675748593,74.98500,哈哈哈哈哈哈哈哈哈哈哈6
1675746719,62.03900,？？？？？
1675746571,54.17800,献出心脏哈哈哈
1675745581,41.14800,《猛》
1675743374,69.22300,老师:啊wc!飞了!
1675734536,19.68200,EAGhost卡带上面是个人，而不是一个场景，这个是喷气轰炸
1675733920,74.81200,走了一所还有所
1675697320,26.08600,吴孟爷都请来了，巨星云集
1675690858,5.09600,哈哈哈哈
1675686841,12.69800,666
1675686819,48.00000,原版这好像是一个人的视频
1675685791,48.39400,哈哈哈哈
1675685788,12.43200,超越原片
1675684963,54.13900,心脏撒撒给哟！！！
1675682941,4.28300,开头笑死我
1675682916,74.89900,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1675681596,4.90000,我还剩12个小时
1675678884,4.38700,哈哈哈哈哈哈哈哈
1675678879,4.38700,叫你模仿不是超越
1675677194,40.89000,“交给你们，我不放心”
1675669285,4.31900,后背发麻
1675665126,47.97000,哈哈哈哈哈
1675664585,33.85900,刘慈欣：？！发生甚么逝了
1675663516,33.67900,哈哈哈哈哈哈，流浪寒假
1675662632,34.15900,移校计划正式更改为流浪校园计划（doeg）
1675656139,19.26600,%小苔藓
1675645044,33.71500,60分以上，出列！
1675605579,53.84400,居然是学渣
1675604003,12.17700,《流浪寒假》
1675595799,4.92800,1
1675590899,4.45900,超级加厚，一字没写，附带作文的作业五天写完，我真的太厉害了
1675588423,12.17200,数字寒假
1675587384,33.98100,作业放逐计划
1675587339,4.87900,妙啊
1675586139,4.77900,流浪地球：我没得罪任何人吧？
1675583899,4.92600,已开学无感
1675581601,74.69900,我去，我还在学校里藏了私房钱
1675581272,5.06400,这是流浪学校计划（    ）
1675579051,4.54100,《流浪作业计划》
1675574989,26.09900,2000年半诶
1675574862,41.43800,沙溢:6
1675573918,34.10500,开学一周，考试两场，崩溃
1675572333,40.92100,哈哈哈哈
1675571932,4.41300,流浪地球2后遗症
1675570903,5.16600,6
1675568185,53.88400,哈哈哈哈哈
1675560731,12.24500,黑橙色的基础模具卡带，应该是ghost长带
1675556549,41.27100,我
1675554775,19.26200,有那感觉了！哈哈哈
1675546293,69.07400,哈哈哈哈
1675546250,25.98600,哈哈哈
1675523991,61.70800,给我高高的飞啊！
1675523538,26.55100,我才放假哎，还只有两天
1675522192,61.90200,校长：让学生保持理智，果然是一种奢求
1675522133,61.60300,青莲地狱火
1675520416,69.17900,6
1675519633,53.59000,你币有了
1675519198,74.68700,哈哈哈哈哈哈哈哈
1675517861,53.64900,献上心脏！
1675517801,4.32000,合着只写了名儿呗
1675516490,4.22000,6
1675516194,4.31900,我刚刚才在电视上看到这个视频
1675515018,48.06500,这特么才几个及格的
1675514543,26.30300,666
1675513922,48.49800,心脏撒撒给
1675513559,34.20500,竜
1675511408,74.71900,泪目
1675508667,4.91400,6
1675508279,33.74900,豆瓣评分5.0
1675508207,48.40300,哈哈哈哈哈哈哈哈
1675508110,12.19900,Moss：这把高端局
1675507301,74.97900,可恶的B站官方，为什么只能让我投两个币？
1675507075,48.53900,哈哈哈哈哈哈
1675506323,69.20000,《逐校计划》
1675506098,5.02400,寒假计划正式改名为补作业计划 
1675504745,26.47500,本人己毕业
1675501502,41.38200,猛将军
1675500312,54.03600,哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
1675499525,53.62300,校长：你们这是叛逃！
1675498910,12.77900,再见，我去补作业了
1675497693,74.90000,我觉得应该把全球的学校拉走。
1675496865,74.72700,hhh
1675496156,12.19700,此时，一个拿着无敌卡带的网瘾小医生骑着法医路过（
1675495008,47.93900,哈哈哈哈哈哈哈
1675493872,48.11100,6慈欣
1675493569,48.56400,啊啊啊啊
1675493530,19.66400,6
1675492252,34.15100,没有献出心脏这个动作就完美了
1675492153,48.27300,新索塔塔开
1675491194,69.07900,好燃！！！
1675408806,26.56400,我的孩子会信，孩子的孩子会信
1675406569,61.60000,《没有学生的学校是没有意义的》
1675399345,4.83900,《流浪学校》
1675350899,69.08700,刘慈欣：6
1675337336,47.92400,原版这里看哭了
1675331743,68.81900,不不不不不不！！！！我的手机落学校里了！！！！！！！！
1675330683,61.79400,bgm燃起来了
1675854650,47.07900,及格
1675830089,54.26100,50分以下的
1675825558,25.79600,这没有必要吧
1675789628,24.89500,鱿鱼游戏是吧
1675786563,4.64900,我要求给我一个完整的假期
1675783406,53.16700,噗哈哈哈
1675779058,53.17900,为兵长献出心脏
1675778861,61.49500,我的语文书落在学校了！
