发送时间,视频内弹幕出现时间,弹幕文本
1676173739,12.60400,塔还a到了
1676171260,58.93200,布响丸啦
1676159434,174.88200,助攻才几个钱
1676130984,128.61900,好r
1676129266,45.54400,微古丝：炸了
1676102711,66.08100,第二个E好像只能在红温50前放
1676091105,163.89600,那你干嘛不把防御塔烧了啊
1676083338,52.71800,为什么这里红温还可以E啊
1676078308,122.28300,黄字你是真逆天啊！
1676056232,102.54200,我不是英雄，我只是个拿棍子的祖安人
1676050021,115.79100,没想到简简单单的一局排位被兔鸟玩弄了
1676048240,186.17600,锁跑车身上了是吧
1676046964,89.28800,这仇我记下了
1676045652,197.74800,酒桶没助攻哈哈哈
1676045234,31.75200,这波线，波比也吃不到啊
1676044903,142.80900,这字幕怎么叛逆期了？
1676044840,23.69900,第三个弹幕
1676044302,111.65200,你好，哈哈(姿态)？？
1676044250,38.59900,塔下线，必定回推
1676044163,137.09500,?
1676043994,195.92800,光辉：靠近也会融化是吧
1676043439,24.72400,《换了》
1676043229,152.37100,因为有炮车
1676043208,155.71600,那我只能说，你看人真准
1676043179,0.27800,省流：小黑子
1676043074,0.28200,看到我你就不是第一了
1676043032,72.55900,封走位=+124
1676043021,101.71500,这就不是英雄救美了，是美救英雄，你呀快成小凤仙了
1676042942,51.73100,满大
1676144968,59.59900,然后他的盲人队友还会喷对线被单杀
1676131355,81.62600,EZ居然大难临头各自飞
1676120058,143.15800,明明只拿了一个头，但走的时候，兜里有两个头的钱
1676097264,137.85000,塔皮你也想让是吧
1676092124,0.61700,省流：小黑子
1676085352,54.57900,我是对面，我已经不想玩辣~
1676052186,38.73900,这线不吃可以卡塔前，吃了就推出去了
1676048973,177.92500,人言否
1676046124,47.69900,他不动线会靠那边，现在这线不是要命？
1676044782,31.91900,这艾克是一点都不想让自家中单玩游戏
1676044250,73.95000,满大
1676043106,89.81900,吸血鬼的低语
1676043096,164.00300,顶级
1676042970,67.21900,有没有可能是你比较危险
1676142068,60.41800,90温度两层e就可以放两次
1676124465,47.93800,兄弟们，欣赏一下对面的塔刀
1676105110,54.93800,英雄特性 只要红温之前E了还能再打个E
1676080685,67.80600,催命的上单，要命的打野
1676050493,164.50000,但是会a塔
1676048307,129.90900,塔皮我也想让的
1676043738,116.71900,4200块，怎么用得完哦
1676043512,187.38400,AD:人言否？
1676043304,122.30700,谁家的AD有意见？
1676043180,32.57000,这简笔艾克给中单害完了
1676043173,143.86700,现在两路都有意见了
1676043137,197.94200,小黑子露出坤脚了
1676043132,197.59300,再靠近一点就会融化
1676043088,159.38400,从碰兵线到想出理由用了10秒！
1676043009,1.50200,第一！！！两分钟，一播放
1676042985,75.33900,满大！
1676042967,81.82500,该吃的：指兵线
1676042918,14.69200,第二个弹幕
1676129651,178.91900,出生啊
1676099188,39.09900,这线艾克吃了线推出来你猜熬夜波比敢不敢吃
1676094424,144.35100,O.o
1676088891,1.91300,小黑子
1676078373,55.11200,一个鞋子q440？凭什么
1676051671,138.49900,0.o
1676048647,76.38400,竖着放可以吃到下波兵
1676045286,154.50500,看人真准
1676045109,28.62100,你不是说跟我换了？
1676044860,164.53900,合理
1676043145,90.45000,《图穷匕见》
1676042952,48.30300,空大！
1676171378,60.57900,e有两层，第一层进入红温。还有一层也可以用，但是过两三秒后你再放就不行了
1676154007,48.87900,已经寄了
1676091328,160.16900,我还贪这个人头
1676085233,55.59800,如果是按e进入红温就可以放e
1676083900,164.85900,你再把塔推了呗 男枪还A塔
1676060682,180.43300,笑死
1676052687,34.23500,@白泽
1676049984,126.63500,别羡慕我了，换你来你也会晕的
1676043079,69.31500,满大！！
1676043055,76.41100,《竖着放会更好》
1676042872,4.53900,我焯，播放1
1676094016,61.05900,e两层，但是如果第一个e进入红温是可以按第二个e的
1676088930,138.67900,？
1676083287,14.87900,青钢影：你不压线吗？熬夜波比：我不到啊
1676080967,144.36300,字幕一直浑身反骨
1676080204,55.99500,进塔的线肯定要回推的，就是看位置
1676077017,180.96900,有点弱，指13/0
1676075347,165.15500,顶级
1676052630,40.94000,熬夜波比炸了
1676047204,106.16300,还等过热完再飞
1676046675,90.73000,《行窃预兆》
1676044832,176.32300,+250
1676044287,130.50900,qe qaa
1676043957,35.15100,塔下线
1676043911,198.19100,酒桶没助攻哈哈哈哈
1676043800,118.69900,羡慕青钢影
1676043701,187.58100,这版本EZ有点强的，被杀还需要触发电刑
1676043566,77.02000,绕了一圈0伤害
1676043362,4.61600,今天的字幕君没有自己的想法啊-_-||
1676043071,83.73900,等几秒再放能吃满，可惜人已经往上走了，竖着放直接被识破了
1676042994,70.10500,大3个
1676042949,5.93900,一播放104赞
1676135948,144.87200,400来的，1100走的……
1676089184,155.43800,看人真准
1676085250,51.71600,为什么这里红温了还能放e
1676069747,162.87400,有道理！
1676051681,128.01800,《炮车给你》
1676048548,77.04100,《大招竖着放，经济一定棒》
1676047635,91.22200,男枪嘛，这英雄就是个吸血鬼
1676045186,42.37800,不如推两波（doge
1676045082,140.11200,这也在你的计算之中么？！
1676044863,56.59800,对面中路的锅，青钢影艾克各占四成
1676044709,7.69300,看完睡觉
1676043624,181.62200,666
1676043043,165.37900,有道理
1676176155,57.93200,因为E是两段
1676132747,190.53900,？？？
1676126700,134.07900,这口音和我们好像
1676114262,166.20200,有道理(贾冰)
1676109572,77.96400,吃了满大
1676094834,121.47000,羡慕青钢影
1676093737,70.16700,大4个！
1676063644,181.77300,出生啊
1676049220,35.90800,这线要吃也是吃尾刀推了就炸了
1676046991,21.27900,这么多蓝站塔下捏一个w，这波越塔最差也是被换掉，操作的好还能反杀
1676044279,198.49700,？
1676043632,147.76100,分工？分赃！
1676043141,11.77700,387赞1播放量？？？
