发送时间,视频内弹幕出现时间,弹幕文本
1676472016,54.27500,再配点“石油”
1676465935,35.96200,早知道就当机长好了
1676464382,40.78200,难道机长在驾驶舱削水果？不麻烦空姐了，我来削
1676454309,22.05900,先手后口，落地接大招
1676448720,27.87800,日本剧情
1676277276,11.61900,前面的 很对
1676056309,65.39900,现在下飞机哪有听机长话的乘务员，有几个机组出去过夜能一块吃饭？基本没有了
1676477153,3.86800,给我消消火
1676513285,36.89600,确实有的机长是这样，我朋友和我抱怨过
1676424032,4.89500,？？
1676463910,5.21800,kou
1676460781,47.33900,你最好是不嫌累
1676076034,5.68500,这行业就一个字 乱
1676452156,6.17900,你是懂起标题的
1676515392,7.24900,懂得都懂
1676440514,8.93800,别乱说啊……是撕服！
1676471979,34.99500,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
1676471911,18.82300,你礼帽吗
1676102645,5.53500,用嘴吸
1676025701,35.33700,我听成鸡长了……我有罪
