爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1676561422.9262733,736758696,情人节 ❤️快来看你老婆跳舞了,绫濑双双,5142241,4601,414,0,19178,23941,268,1000,447377
1676561429.7270832,864262636,你小子真有福气❤你的女友,Pinkkoi少女梦,1911301424,2115,221,0,12038,12615,314,989,214976
1676561434.546498,864293397,🐔阳✨光✨开✨朗✨大✨只✨因🐔,秋名山上的切莫,35749974,2515,503,0,3721,11148,177,1521,153114
1676561438.399295,906992933,朋友们下次催婚提我 好使,侯翠翠,1458143131,4136,981,0,1313,38717,1373,1297,605594
1676561454.6142952,266804626,当福州三坊七巷街头响起了k-on！,夏季八煮,314183,4055,303,0,2102,11311,697,1515,119420
1676561463.501258,566906098,吃面喝汤比肉还香！豪华版猪脚面，强哥都挡不住的诱惑~,老饭骨,419872064,4583,910,0,6794,26642,444,3266,431421
1676561469.2773519,479490781,为了满足网友的无理要求，我竟然把它做出来了,猪坚强jqsg999,2068622664,10726,975,0,1612,44001,954,836,421293
1676561478.1007614,524343490,我买了一张许嵩《庐州月》卡,大力滴滴滴,15277160,8410,698,0,2944,11918,927,1741,183238
1676561488.9412136,481620148,“ 九 转 大 汤 ”,大福咕咕,38968617,20063,1820,0,12852,72706,1176,617,431679
1676561501.8696375,864494652,憋了一年的仇是时候报了！这口黑锅压的我喘不过起来，今天终于能甩掉了,AS极客,4835329,4222,572,0,918,13920,625,107,173608
1676561508.8140554,479464634,【品城记】安利哥：能击败广州9成的煲仔饭！开车一个多小时去都值啦！,品城记本地版,429582883,6993,1335,0,2787,13916,656,2863,176347
1676561515.6644683,651769075,我妈锐评稻妻女角色,J金属钠,1620290103,1438,2940,0,2977,19898,1164,2520,363681
1676561526.5709863,991850694,“给他一个破碗，他给你一部大片”-——大型纪录片《郭帆传奇》,数字生命化西格,34118160,2716,859,0,4273,29212,845,1490,315239
1676561532.4228346,991572116,我，260万粉UP主，公开助农水果利润！究竟赚了多少钱？,王小七Fire,680677803,54312,2476,0,8174,69226,2419,948,631031
1676561544.336917,479358761,从荒诞虚无到解构一切，后现代的本质是什么？,幽灵漫游指南,56730666,1991,430,0,4060,5325,690,655,72431
1676561551.1833375,779256492,摊牌了，ikun集合,英超联赛,1488532268,1361,432,0,1146,7366,353,649,76425
1676561558.0451016,524199857,社区店竟然能吃到淮扬三头之一的红扒整猪头|北京玉华台饭庄,真探高文麒,3493080560830654,4642,1997,0,1936,26012,1057,1343,572504
1676561568.0909317,436883863,用一把红柳羊肉串，再跟日本媳妇求个婚！！,日本媳妇在山东农村,391329387,5416,1097,0,489,12786,600,350,148665
1676561573.9230316,694451703,探山东·微山湖·渔家乐，王屯鱼馆，★★★★★好评？,师父和我做鲁菜,490775325,4498,1174,0,950,11080,1014,608,164675
1676561582.8507328,566989490,我们翻车啦？！以及一些小感悟,kaokaoniao,640495315,15539,1707,0,4985,63167,1446,2792,718250
1676561605.064754,224126506,小哥今天收到了小费，下班一下买了两份炸酱面，再加个猪蹄,哥倆美食,482508159,9636,506,0,838,15282,297,170,208495
1676561608.8589177,779342300,【喜羊羊手书/描改】喜儿们只是在跳舞而已！（画不动了！）,花狸li,21702847,1603,224,0,5926,13781,194,691,87614
