上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1675769398,10,14,False,False,大部分连副科都拿不到（有实权那种，比如副局长啥的，虚的不算）
1675830146,6,6,False,False,95年，今年28了刚走到副科
1675912064,0,2,False,False,这文案都听过好多次了，一个人发全体抄是吧
1675814187,2,2,False,False,下次介绍一下怎么到省长
1675777440,0,2,False,False,基本不可能
1675852452,8,1,False,False,公务员分很多级别，有县级，区级，市级，省级，部级，副国级，正国级，自己考上什么级别才能干什么工作。
1675838155,9,1,False,False,虽然我是96年，才考上新入职，但是我想知道怎么晋升成省委书记
1675823718,2,1,False,False,我985本硕毕业 十年了还没到正科呢
1675816698,2,1,False,False,定向选调才叫选调，普通选调还不就是个公务员
1675926585,0,0,False,False,。。
1675908283,0,0,False,False,一个晚上
1675842961,0,0,False,False,是几辈子。[doge]
