上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1677080831,0,1,False,False,白嫖了这么久[吃瓜]，这次不白嫖了
1676885245,0,5,False,True,正能量博主，很高兴刷到你的视频[星星眼]
1676992815,0,0,False,False,蛙趣都穿薄外套了，我这边还是厚棉袄[笑哭]
1676804392,1,3,True,False,姐姐的脸怎么了
1676805825,1,2,True,False,打工人没有下班，赶紧回去加班！[doge]
1676804175,0,5,False,True,多才多艺
1676991361,0,0,False,False,谢谢姐姐天天开心！
1676806785,1,1,True,False,bgm是什么呀
1676808523,0,2,False,True,享受Morry的视频中的平静[打call]
1676955032,0,0,False,False,好有魅力啊
1676805049,0,2,False,True,来了来了来了来了来了[呲牙][呲牙][呲牙][打call][打call][打call][打call]
1676822617,1,0,True,False,[doge]好像深圳光明啊
1676848126,1,0,True,False,那边天气已经这么暖和了吗？
1676964600,0,0,False,False,想问问周末时间 需要处理客户的问题吗[捂眼][捂眼]
1676979496,0,0,False,False,同外贸人，喜欢你向上的精神状态
1676891497,0,0,False,False,这是野石榴吗，真棒
1676895673,0,0,False,False,想听UP主唱歌[星星眼]UP主不会是茂名的吧
1676828784,0,0,False,False,有的还没熟啊
1676818037,0,0,False,False,这是长圳吗？
1676812674,0,0,False,False,带我一个呗
1676805904,0,0,False,False,明天要开始上班了，一头雾水，紧张兮兮
1677112025,0,0,False,False,不应该找男朋友一起出去玩的吗[喜极而泣][喜极而泣]
