发送时间,视频内弹幕出现时间,弹幕文本
1676448150,57.92200,你小子对我们老婆态度好点
1676437808,32.44200,你干嘛（警觉）
1676419106,5.89600,黄瑶吗
1676391174,22.77900,6
1676379207,22.01400,小陈老婆
1676374242,71.65000,姐姐好棒！
1676371899,17.13900,哪是长反骨，应该反骨成精了（确信）
1676352202,42.36800,老婆真好看
1676350553,43.14300,我以为是去加了个油
1676349879,50.38000,小陈在后面吨吨吨
1676345936,9.13900,反骨阿小陈
1676334653,8.47000,我也要喝，阿真喂
1676304120,50.70600,在后面偷喝
1676301745,50.25500,好多老婆
1676300092,36.97900,反骨仔
1676299726,68.48000,顺势把小陈一把抱走
1676298743,40.55400,天天外卖吃麦当劳？
1676298539,35.16400,反骨成精
1676297702,22.72200,反骨陈
1676296227,49.87200,新老婆真好看
1676296035,70.87000,哈哈哈
1676295721,4.15700,逃脱王总密室的朱三浪
1676295672,71.39900,高启陈还是徐良陈
1676295479,48.34200,吨吨吨
1676295291,4.23400,我好早
1676465983,4.42200,陈真：诶嘿，看这个租的衣服质量好不好呀～
1676461415,10.05800,精武陈真
1676385610,4.30200,那个喜欢小花的朱总出现了？？？
1676351343,4.37900,《陈真》
1676343487,4.45300,我爸给了
1676338274,59.07900,假的，都是冰红茶
1676335110,34.06600,这直接反骨成精了
1676335037,21.45900,此事只出现在短篇里…
1676330479,41.77900,500会看得上这种小东西？
1676324495,24.41900,这是轩尼诗啊老铁
1676307708,70.84800,哈哈哈哈哈哈哈这里蚌埠住了
1676304659,33.99900,这可太尴尬了
1676299232,49.60300,小陈海量啊
1676296571,21.97900,解锁一个新老婆
1676296388,70.51600,朱总:问题是我也没喝呀，不是你炫的吗
1676295728,51.25400,吨吨吨
1676295654,49.57100,她在喝酒
1676295471,41.98500,小陈海量啊
1676295464,49.62100,直接对瓶吹，好酒量
1676477690,11.41100,租的。？
1676423841,51.69900,小陈！快停下来！那酒好贵的呀！！
1676406777,5.90600,我还霍元甲呢
1676380027,4.91900,精武英雄
1676350052,3.91900,又是想看小陈吐毛毛的一天
1676347989,70.26200,哈哈哈哈哈哈哈
1676335171,49.33500,小陈在后面偷喝
1676328993,41.17800,去隔壁叫章总来演至少他自然一点
1676300912,49.50800,hhh
1676299311,59.09900,明明一个月翻倍了
1676299103,33.33900,朱总借王总上位成功
1676298724,70.30500,老婆凶我，求求了
1676298695,49.30500,求小陈凶我
1676297605,20.74200,小陈可以阿
1676296598,10.26500,又是沉迷小陈老婆美貌的一天
1676295878,25.76300,朱出去单干了？都成朱总了
1676295642,33.54900,小黑子？
1676295627,24.92400,这怕是反骨上长了个人吧
1676295506,41.20600,你怎么没开瓶啊
1676295449,5.44200,第一第一
1676295318,21.30400,热乎的
1676467439,51.93900,小陈在豪饮，快阻止她，不然等下就没得喝了
1676464661,40.98100,120的体重，119的反骨
1676454227,41.10500,我也是，因为要交电费
1676453071,6.24300,阿真呐
1676425541,33.19100,被辞退要赔钱哟！亲
1676414314,6.30500,好你个朱山浪，居然当老板了
1676382176,69.48300,加一加一 我的爱妻
1676374564,71.93500,义乌人？！
1676367639,68.83700,光头，办健身卡不
1676362996,6.01900,《精武陈真》
1676353110,33.13200,估计是夏娃的反骨变成亚当了(doge)
1676352155,6.33500,哈哈
1676339403,51.78800,吨吨吨
1676337917,49.08600,拿瓶子直接灌人头马？666
1676336771,48.85600,搂一瓶
1676329334,19.48100,总觉得这俩男的是兄弟关系，没觉得长的真像。
1676298757,20.39400,小陈老婆我来啦
1676295727,32.51300,想刀人的心
1676295577,59.13900,特斯拉最近股票翻倍了，老板发了
1676295446,49.08100,哈哈哈哈，在旁边抱着瓶子喝
1676439592,48.83200,吨吨吨吨~
1676358080,29.13000,抽搐细节
1676356328,6.51400,我要打10个
1676356257,59.40900,特斯拉股票又大涨了好吧
1676352023,32.21600,这演技，吊到四字
1676347688,15.21900,00后工作人！
1676321770,68.64700,光头：我也没喝酒啊
1676304013,8.32500,锁骨呀呀
1676301017,40.69400,你直接说欠电费阿，嫌我电网排不上号？doge
1676300267,53.77700,高冷眼睛姐呢？
1676298059,17.05900,我老婆小陈，我不管
1676297619,26.80200,小陈凶凶
1676296819,27.16200,演技不错
1676296635,44.06500,解锁一个新老婆
1676295478,40.76800,我长期跟移动，农行，国家电网这样的世界500强保持业务往来
1676295470,48.31000,嘎嘎旋
1676295345,6.55600,这玩意还能租？喝了算谁的
1676295302,12.53900,我好早
1676463342,39.66900,请吃“羊蝎子”
1676437914,61.33200,笑死我了
1676431809,28.03900,小陈冲啊~~~~~
1676415123,12.59700,小陈老婆
1676415071,40.11900,小陈老婆
1676389063,0.36800,《甲方终结者》
1676368578,47.41200,哈哈，直接把租的那瓶炫完了
1676355190,0.41800,赤小兔你怎么在这
1676354046,0.41400,抱歉看成皮骨长出来了
1676353210,32.01900,笑容转移到我的脸上去了
1676348307,55.83700,租的酒你就给喝了？
1676348169,12.89900,陈真
1676301690,16.57500,今天小陈太A了
1676299116,68.39800,朱总：我也妹喝啊
1676297669,68.30200,皱眉小陈
1676297643,47.68200,小陈
1676297520,1.80700,有头发小朱，没头发朱总
1676297307,48.20800,未成年在喝酒
1676295376,17.04200,这个新老婆也不错啊
1676477737,31.47300,是反骨溢出来了
1676442451,67.63800,还有涉黑背景
1676432663,39.26000,撒还是不撒?到底撒还是不撒
1676415111,1.39300,这集小陈老婆凶凶！！！！
1676400716,31.85900,这好像老姜那个视频
1676377919,63.26000,还具备剧本
1676373765,46.94300,还可以这样啊
1676362938,28.28200,哈哈哈哈这嘴角好灵活
1676359378,46.75000,叫投资是吧
1676350070,28.26400,演技炸裂
1676346019,16.26200,陈陈
1676345680,38.93700,90斤里面180斤的反骨，多出来是是骨质增生
1676335213,13.09900,真子附身
1676335088,31.45400,警觉
1676315338,46.27600,我还和中国移动 银行合作呢，不也是五百强，。
1676302379,56.61300,草莓？
1676299412,67.68200,还以为要拿瓶子给他开瓢呢
1676298778,0.76600,《陈真》
1676298030,16.40200,发不出工资的老板是没有尊严可言的
1676295540,71.93500,哈哈哈哈
1676295485,56.79000,喝完了
1676295415,1.02500,两分钟3000？
1676295311,1.33900,沙发沙发！
1676461796,0.00000,省流：不许走
1676387572,45.84000,演技可以的
1676384812,30.93400,这个面部抽搐，演技绝了！
1676379647,1.83800,酒是她喝的，人也是她骂的
1676350033,63.89900,老板早两年买的特斯拉股票赚不少钱了
1676346726,67.19600,高启强&徐江：这我熟
1676344961,15.47900,这光头有点眼熟啊
1676344884,29.00500,反骨上长了个人是吧
1676334113,37.79900,两个月不发工资不这个态度还想怎么样？
1676330255,1.53900,小陈是我的
1676307727,67.19500,哈哈哈哈哈哈哈这里蚌埠住了
1676302734,31.39900,这嘴角抽动完爆小鲜肉了
1676299957,45.76600,小陈yyds
1676298685,45.72500,小陈凶凶
1676297673,38.04000,新老婆也很不错哦
1676295334,1.83400,小朱当老板啦
1676397894,45.67800,企鹅告你们侵权？？？离谱
1676366130,44.54600,我还以为点麦当劳外送
1676343212,44.79600,哈哈哈哈哈
1676342889,30.01900,真
1676342436,3.00400,在?看看反骨
1676338044,2.69100,啥？现在才长反骨吗？
1676333599,15.13400,有点阿真老亨的味道
1676310168,30.87900,体重90斤，反骨有91斤
1676303934,2.30600,小朱变朱总了？王总退休了？
1676303148,66.05700,翻倍后离高点还是腰斩
1676299586,64.03400,小朱：我沒喝啊
1676295379,66.78500,朱总:完了，谈个生意变成了生死局
