发送时间,视频内弹幕出现时间,弹幕文本
1676482507,439.00800,哈哈哈哈哈哈
1676480836,56.80100,乐！
1676477805,5.75900,加油
1676476725,295.63400,他在干什么!他在让人头!!
1676476547,233.06500,八角笼？
1676475842,319.10000,哈哈哈哈哈哈
1676474276,128.53200,EDG的好上单都是气氛组
1676471687,275.00300,乐？！你变了
1676468467,362.46700,6和帅就行
1676465273,261.69000,6‘’
1676460718,364.40300,6和帅
1676458980,33.71100,上课了，乐
1676457450,165.54000,谁？
1676456994,439.46900,为什么科目一过不去？是有什么字不认识吗？
1676456662,360.14800,6和帅
1676454861,217.67900,你还是忘不了doinb！！
1676452349,12.14100,小布倒水
1676452253,355.42200,6和帅
1676452158,260.79900,可爱捏
1676450554,84.32300,哈哈哈哈哈
1676450538,68.35500,军训
1676447282,5.94000,乐！
1676446504,421.77400,s赛我们有了，更高是msi+s赛冠军吗？！！
1676446284,202.51600,meiko听了都要落泪
1676446259,295.05100,阿乐：我终于懂了Doinb的快乐！
1676445886,75.94200,合同库是23-24-25年底到期
1676445290,127.94200,[P;
1676444830,360.01900,6帅
1676444813,113.24500,哈哈哈哈哈哈哈
1676444656,18.21900,哈哈哈哈哈
1676441786,380.20000,Meiko这指挥状态可能打太久了
1676441196,46.45400,已经在笑了
1676440511,122.66700,一键查询精神状态哈哈哈哈哈哈
1676439653,63.89200,楼下俱乐部确实不太行
1676438513,360.39300,6和帅就行！
1676435728,91.53900,卢夺舍
1676435223,362.90000,帅啊，乐！
1676435215,361.63400,6666
1676434811,319.50800,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1676434540,355.51000,6和帅
1676434510,41.59800,乐！
1676432834,233.44600,上单在这里分胜负 哈哈哈哈哈哈
1676431917,361.05400,6和帅
1676431596,211.02700,那年我们差点进了8强，那个ad跟你的操作比不了，我们每条路的操作跟对方都是比不了的，但我们还是能赢，因为团队的力量。
1676431269,381.93900,16岁英国打野还不年轻
1676430820,227.30100,团队的力量
1676430617,34.25600,哈哈哈哈哈哈
1676428534,348.37800,帅！乐！
1676428230,45.81900,乐！
1676427163,320.44200,冷酷无情青钢影，老老实实玩坦克
1676426775,277.60900,我还是喜欢你桀骜不驯的样子
1676426401,341.92100,男妈妈太逗了
1676425477,348.53900,6和帅！
1676425239,355.04600,帅
1676424263,348.94700,帅6
1676423845,150.37700,自我介绍
1676423620,360.98900,六合帅
1676423138,364.05000,帅帅帅帅
1676422703,366.97900,66666
1676421222,364.17500,50！
1676420703,394.64200,不是吞了，是换了解说的音频
1676420634,328.39300,横批：乐变了
1676420245,18.01700,什么鬼滤镜！
1676419760,344.04600,edg养人啊 阿乐来了之后各种意义上变帅了
1676419121,364.71000,帅
1676419112,12.12900,大荧幕质感中英双语！！！！！
1676418770,361.88900,6和帅
1676411754,348.50500,50
1676410572,175.44700,队长的攻击性
1676406444,219.18500,大B！
1676403473,366.67300,《我今年16岁》
1676399606,268.67500,偶像包袱是吧
1676399209,201.55300,lng号称edg的上单输送器
1676398765,327.74000,我不行了
1676398430,41.61900,乐！
1676398379,5.77900,乐乐乐乐乐乐乐乐乐乐
1676398333,320.19000,乐可以的哈哈哈哈哈哈哈
1676398212,349.18400,帅！
1676398121,41.70200,乐！
1676398084,330.94200,FOFO还是很关照小AD的啊，场上场下都在给他鼓劲
1676397889,348.79800,6和帅
1676396788,349.11800,5000
1676396140,348.92600,6和帅就行
1676395503,313.75700,稳如泰山老塞恩！
1676394289,284.71700,叛逆期过了
1676393553,147.97900,说你自己可爱呢
1676393367,402.04500,《葫芦爷救娃娃》
1676392341,366.67600,大家都懂了对乐的使用方法了，夸夸乐6和帅
1676392304,354.51600,帅！
1676392050,68.45700,打几年！！！！
1676391410,348.53900,66666666帅帅帅帅帅帅
1676391032,12.41900,糟糕还没看已经开始笑了哈哈哈哈哈哈哈
1676390805,201.68900,哈哈哈哈哈哈
1676390750,407.45900,leave：韦鲁斯靠了（着急），啊？全杀了？
1676390674,354.80000,翻译：别发50！
1676390567,74.92000,乐你打的好打到退役都可以
1676390286,364.37900,外置大脑已连接，大脑让打我就上
1676390273,92.94300,哈哈哈哈哈哈哈哈
