发送时间,视频内弹幕出现时间,弹幕文本
1676475311,798.04400,小哥笑的好好看
1676475051,824.08400,粉蒸
1676475046,382.64700,我们家有一种白色中间有一圈紫色的红薯 超级甜
1676474872,824.46400,粉蒸肉好想吃哦好馋啊
1676474845,822.27700,粉蒸肉还可以这样！
1676474642,383.44100,我家同款晾衣铁杆杆
1676474533,782.12700,到底是红薯出了轨还是紫薯越了界
1676474343,377.42900,黄心的最糯最甜
1676474229,786.52300,阿豪怎么老不在
1676474104,798.48300,还以为是拔丝地瓜
1676474040,364.63900,紫薯片
1676473964,834.93200,千张？粉蒸？
1676473783,759.98200,注意看~这是只长毛猪~它即将被~~
1676473673,788.75700,红苕饭!!!!!!!!!!
1676473547,664.75900,前面那个磁器口别走 哈哈哈 我也想起来了
1676473514,752.83000,美拉着
1676473405,1010.50000,明天吃酸辣粉，睡觉
1676473340,697.27900,山西也叫粉条
1676473269,287.03400,红薯干做的萨其马吃过没有？
1676473039,562.16100,……看来真的很多萌新。肠粉主料是粘米粉还掺和了其他淀粉、凉皮主料是洗面团留下的小麦淀粉，看着像，口感绝对不一样
1676472934,364.12400,我小时候就爱吃烤的紫薯，干干的香香的
1676472872,119.35800,起垄才能长得好
1676472706,791.90500,天呐，是茴香呜呜呜呜
1676472706,239.46400,阿盆辛苦啦
1676472593,532.55000,好喜欢盆姐家的氛围
1676472552,119.14400,好漂亮的农作物
1676472406,557.54600,凉皮
1676472282,448.53900,阿遥？！
1676471984,364.77700,红苕甜白苕粉
1676471981,169.29900,因为泥土好啊，沙沙的不会沾
1676471973,904.92600,烤苕皮特别好吃
1676471828,596.59900,纯手工制作
1676471688,408.82500,我妈以前拿这种过滤一次的渣给我煎饼，真香啊
1676471629,378.90500,白色主要就是做淀粉的
1676471435,596.65300,我们这苕皮是在大锅里搅的
1676471346,11.75900,啊啊啊啊可爱的王王
1676471218,828.79000,好神奇
1676471189,362.02900,我们那最好吃的品种叫巫山芍
1676471053,1002.16700,我们料很多的哦
1676470850,722.53900,云南不分四季，之分风季和雨季
