发送时间,视频内弹幕出现时间,弹幕文本
1676475100,363.29500,你就说杀没杀吧
1676475028,362.55800,你就说杀没杀吧
1676475019,365.93100,懂了，星熊＞风笛
1676474348,528.33900,说实话，内卫真的好帅
1676474063,637.95400,火P最爱的吴迪珍
1676473050,323.37300,卧槽！圆！
1676471815,248.44600,？为什么我的能过呢 哦一阶段 那没事了
1676471491,142.14500,[ohhhh]
1676471443,227.96600,这不直接二模打两遍
1676471217,6.13500,好耶
1676470914,571.27800,都是什么古早金曲
1676470470,211.09900,寄
1676470115,94.01600,我后来，你有没有想过煌不再是煌
1676470031,575.61300,el psy congroo
1676468544,369.66700,这位更是我抽仇白歪的（）
1676468517,134.59300,我居然和银老板一天生日
1676468050,64.71400,四爷赢
1676467958,384.52400,高科技小子
1676467786,369.07600,号角是真的强，一技能挂机，二技能针对机制怪，三技能拥有6万8的恐怖输出
1676467745,379.41600,内卫：有脏东西
1676467545,376.13200,这里说一下号角带二（专三）也能杀
1676466737,636.65700,好轴！
1676466720,102.24700,死因：酷毙了
1676466500,647.73100,There is no god
1676466307,156.42200,双方裁判切磋现场
1676465611,305.10200,我超!圆!!!
1676465574,371.28300,内卫:也？哪里来的炮弹呀？是不是炮火先驱者打错人了？回头看看，没有呀？
1676465566,110.83100,将军有吸血，小子（doge）
1676465530,624.70200,打不过海嗣主要是量太大了，如果是和斗蛐蛐一样单挑打强大个体还真不一样
1676465485,305.10100,wc，！圆神！！！
1676465400,219.22000,蒂蒂可以用快活再部署一次吗
1676464961,64.78700,四爷>风笛我怎么会做这样的梦？
1676464753,131.61900,银灰生日快乐
1676464412,428.41100,懂了，这就去羽毛笔配装置
1676463912,51.64300,肉斩断骨，小子
1676463360,551.71900,老鲤大于174，我怎么会做这种梦啊？
1676461751,396.61900,内卫：不谈恋爱
1676460223,316.94500,本就不快的攻速雪上加霜
1676459350,171.90000,这位更是打三个可能还快一些
1676459239,365.98500,·++
1676459190,564.91300,我超，石头门
1676459184,17.23500,单挑估计没得那个干员，专9，90级耀骑士都扛不住几下
1676459088,624.44600,裁判要下场了！
1676458865,85.00700,我乱来，为什么不给锯子打狂犬病疫苗
1676458768,171.91200,卡西米尔叔叔666
1676458065,118.82200,他是将军！
1676457944,185.61700,闹够了没有！
1676457929,644.77200,内卫：真男人从不回头看国度
1676457671,429.81800,我的大龙无穷无尽，你的生命有去无回
1676457630,389.83900,第三个
1676457414,306.69900,我超！圆！
1676457024,379.81700,内卫：回头看下谁炸了，噢。原来是我炸了
1676456559,274.46400,致命节奏，小子
1676456496,61.17400,擒贼先擒王（确信）
1676456299,505.58500,六星近卫和他的三星奶
1676456168,385.37700,老婆！！！
1676455990,323.96900,内卫：叙拉古无权判我自杀
1676455783,270.02600,这位更是剧情里能把你碎片的本体解决了
1676455107,530.62300,夕拿石乐卡一下对轴能拖，虽然还是不能杀
1676454930,463.71300,上一次沙内卫的时候还没有模组最后令带着俩大龙硬是把内卫磨死了
1676454197,121.49900,还得是将军！
1676453868,253.20300,不可选中！
1676453421,599.92500,每次一到歌蒂就剧情强度。。这两连面都没见过
1676453276,387.22500,汪！
1676452515,316.19500,逗猫棒
1676452359,239.76300,专业对口~我说的是内卫对口
1676452023,451.70400,？
1676450474,134.50300,死因-70防御
1676449711,85.73900,寒:我滴老父亲.....
1676449652,134.46100,老爷子是先锋军将军，内卫，战争术士和温迪戈这三大精锐他应该也没法调遣，更何况追猎者应该是内卫军官，地位不一定低于老爷子
1676449595,383.50700,牛壁
1676449371,174.42600,这就是叔叔
1676449140,515.07300,内卫一刀夕一刀，你一刀啊我一刀
1676447021,273.52800,致命节奏永恩
1676446990,310.68600,内卫的国度也太舒服了吧
1676444444,381.62700,老婆NB！
1676444385,362.47000,杀了，但杀错了
1676442791,297.82700,前方BGM高能
1676441859,386.71000,这好像是第二个过的？
1676441293,655.25000,因为这是突袭
1676441122,378.68700,克里米亚战争，毛子。
1676441018,2.25900,老陈秒杀预定
1676440832,376.85300,内卫：啊！我焯！啊～～～我要回家！！！
1676440771,381.22700,内卫：？？？？有海马斯？？
1676440738,377.30100,内卫：？？？哪打我？
1676440698,364.92800,额外击杀，加分
1676439477,164.99500,再来几个内卫，叔叔也打得过
1676439314,610.72500,应该说歌蒂打一两个内卫稳赢，三个及以上不好说（什么乌萨斯银枪天马）
1676439087,2.06700,卧槽，星际飞行，超时空要塞歌
1676439025,383.39700,[ohhhhhh]
1676438826,387.29900,《近战》
1676438666,22.95900,既要快速击杀，还要能吃下伤害
1676438429,370.02500,R！P！G！
1676436461,485.99300,如果是一阶段叔叔被减速砍不死的
1676436435,485.37900,单核作业，内卫
1676436326,500.17000,家电冰箱！小子！
1676436075,285.00000,专三就能过
1676435630,371.47700,长手打短手！
1676435357,382.30300,〈∴城防炮，小子！∴〉
1676435305,623.74100,海嗣都被国度挡了，歌蒂肯定打不过啊
1676435213,227.05600,换成快活模当快活能过
1676435106,120.25000,将军nb！
1676434873,148.24300,将军大于174！！！？
1676434855,373.99100,克 里 米 亚 战 争
1676434808,232.77900,强制离场，小子
1676434327,387.23000,光！
1676434220,119.42100,他是将军！！
1676434130,596.70100,别把内卫看扁了，内卫真能和二队干架
1676433834,36.21900,这个内卫属性不高的，异德加42切的很轻松
1676433771,288.16700,泥岩:把你下巴给扬咯
1676433447,209.47800,阻挡应该能过
1676433423,287.92300,专三好像解锁天赋伤害翻倍词条？还是专一解锁的啊
1676433418,121.34700,所以皇帝利刃和爱国者谁厉害？将军好像和爱国者一个级别来着？
1676433171,377.18900,号角优势区间
1676432786,304.38200,我超，圆！
1676432466,369.42200,我第一次打就是用号角过的
1676431759,517.65100,一刀一个小自在(悲)
1676431610,382.18500,强！
1676431590,367.50700,熊sir真能抗
1676431557,297.03800,三大蛐蛐王来了
1676431423,457.02300,内卫:有完没完
1676431372,346.01900,异德要出手了
1676431330,169.12300,绝对的伤害，小子
1676431227,118.79800,他是将军！
1676431222,377.41900,内卫：【回头看一下啥炸了】
1676431168,82.21800,海胆的生存法则，小子
1676431100,381.99100,哈哈哈，内卫还探头找了下谁在打他
1676431011,171.95200,你猜我用谁秒的
1676430995,360.63900,裁判呢裁判维持一下秩序呀
1676430843,493.27300,专业对口
1676430834,445.63700,这么一看叔叔这干员有多离谱
1676430832,492.98500,还原剧情
1676429409,315.45100,一锤出国度
1676429018,1.63700,干员大战鹰角的利刃！加油啊干员不要输给利刃！
1676428950,191.01900,这位更是鳄鱼花呗
1676428432,382.01300,血战，小子
1676428429,281.23000,哦我的上帝啊，这离谱的远程攻速
1676428340,232.92000,强大的是我，猎人
1676428202,148.49900,裁判你怎么啦！
1676428107,142.77300,这位更是裁判都打不过
1676428000,102.55200,我滴样子酷酷哒（1/1）
1676427629,401.06300,炮台不是我方单位，小子！
1676427467,198.32900,拜个晚年
1676427229,374.68000,范围优势
1676427164,575.05900,石头门？
1676426520,288.25900,和老爷子一样，攻速加的多，看着像没减
1676426514,382.63900,李云龙（幻视
1676425512,337.70700,念完就是胜利
1676425473,407.97900,加个能天使是不是就过了？
1676425450,562.70800,好像动了一点.内卫站的格子偏左了
1676424543,545.66700,内卫的第三次尝试卡轴(开国度)
1676424418,480.92000,你猜我用谁补刀炸死你的
1676424151,351.22200,内卫：好轴
1676423685,555.37900,不香了，妮子
1676423350,367.03000,杀错人了
1676423227,252.41500,华法琳加陈，每次内卫都这么打
1676423200,388.83900,不能奶自己！
1676423030,379.67600,还是远距离白嫖的能赢内卫
1676422927,280.86200,不是没减攻速，是这已经是减了攻速的了
1676422870,111.07100,爷的生活好悲伤，国度里面拉刀光
1676422864,44.47700,内卫∶狞笑
1676422800,305.04300,圆！
1676422618,525.95000,突袭内卫二阶段近战伤害接近3000
1676422532,424.84400,炮台算敌人，内卫国度锁不了
1676422471,121.33700,老爷子好像是近卫军将军，貌似和内卫不熟（doge）
1676422460,380.70700,有一说一应该等内卫过了罚站点才能开打，不过这样应该只有赫拉格能过了，观赏性拉了
1676422331,415.59300,悍马耙不动，小子
1676422227,157.39800,内卫二阶段近战伤害巨高
1676422045,603.64600,快活优势区间
1676421578,661.56600,巧了，我用兔兔秒的一阶段
1676421341,595.72900,这位更是第三关钓鱼佬
1676421291,180.29900,哈哈，每次听到烧卖都很出戏
1676421221,253.37400,虽然陈单人打不掉内卫，但加个ffo就能打掉，我就这么打的（）
1676421050,463.56600,裁判翼德下场维持秩序
1676420945,666.85600,防伪标识
1676420685,595.39000,剧情可能也杀不了，有恐惧感染
1676420550,377.51200,[ohhhhhh号角]
1676420258,582.54800,专业对口（指内卫）
1676420167,371.55900,小园！
1676419960,436.76600,前面的这是皮肤
1676419398,337.24900,内卫：你念完了是吧，念完了就该送走了。
1676419136,643.83100,不许祷！
1676419103,582.24200,我超，石头门
1676418969,473.83100,你和你的国度，令我感到可笑
1676418940,260.74700,蒂蒂带快活模组不行吗
1676418917,519.07900,一刀一个，哈哈哈
1676418872,386.37900,[ohhhhhhhh]
1676418843,377.25100,内卫：(回头看)哪来的炮弹
1676418832,371.63200,内卫：我趣什么玩意炸我
1676418784,665.57700,魔王，小子
1676418762,316.91600,我方二号蛐蛐王
1676418739,535.46600,不吃两碗，小子
1676418719,278.41800,国度都没法减她攻速()
1676418705,383.25800,数不多的能过
1676418687,359.21900,az
1676418674,592.99800,剧情里的你，再强大也是假的
1676418652,555.13500,好香(1/1)
1676418625,382.71800,她是号！角！
1676418622,252.56100,剑豪一套秒不掉就…
1676418585,22.13900,八鼠短
1676418474,44.32100,他甚至没放战败画面，我哭死！
1676418419,38.73700,《破  游  关》
1676418352,8.61900,早起的孩子有斗蛐蛐看
1676418318,118.93900,他是将军！
1676418283,110.64500,专业对口
1676418240,122.20100,这位更是减抗哥哥
1676418152,86.26000,我乱来，为什么不让煌对内卫乱来
1676418146,111.80600,专业对口
1676418078,118.88000,他是将军！
1676418014,33.10600,早
1676473982,603.70200,内卫是量产的，歌蒂是最初的深海猎人之一（见干员档案）
1676473109,9.03900,内卫脆是为了配合国度打初见杀
1676473077,121.78500,他是将军
1676472682,637.72700,？？？
1676472205,359.82800,秒伤不吃减攻速
1676471751,482.87300,0防但快活
1676468578,305.47100,我超 圆！
1676468294,642.79900,无敌帧
1676467155,290.10100,专三两倍，应该可以
1676466986,347.74700,又是这位磨灭大道的选手
1676466475,410.77500,？
1676466047,463.83100,内卫，我是来谈条件的
1676464495,121.63100,[ohhhhhhhhhhhhh]
1676463277,331.68700,变成救济魔女能赢（种田.jpg）
1676462884,3.57900,超时空要塞！
1676462879,4.55000,卧槽，lion
1676462304,4.71000,超时空要塞！
1676462213,624.85900,这位更是个近卫
1676462101,44.91400,山哥坚守岗位
1676461791,168.84300,再来几个小子
1676461611,53.12200,锁血小子
1676460514,119.17600,他是将军！
1676459144,656.10500,这个boss我异德带三技能直接下了三波秒了
1676458701,396.75200,卡西米尔叔侄111
1676457562,351.42600,塞雷亚少70级能过！（
1676456966,337.83100,她念完了！
1676456606,3.86000,这个应该是普通关那个级别零的内卫
1676456181,272.85900,大哥打辅助可以，单切内卫就不要想了
1676455962,135.75800,这位更是大荒星陨
1676455076,191.68800,老爷子不仅没白嫖伤害 还顶着他一半减伤50减攻速给他干了
1676453161,427.58400,令打这个太简单了
1676452526,306.08400,圆神!
1676452446,305.18600,woc！圆！
1676451952,595.29100,剧情里深海猎人能和内卫五五开，但歌蒂是二队长
1676451205,111.41300,内卫和内卫的爷爷
1676450458,489.05700,那么多次m3都不在凯尔希攻击范围之内的啊！
1676449538,261.24100,小鸟吃个拐就行
1676449508,287.21300,仇白牛壁
1676448670,602.51600,剧情只要给足够的时间让二队海嗣化并进化了就乱杀，现在大概五五开
1676447774,415.65900,他在干嘛¿
1676445568,133.54000,爱国者只是大尉，因为他感染者的身份，不能上更高的军衔了
1676445453,17.79400,山哥幸苦
1676445288,663.52500,关系户小子
1676445056,35.04200,王晓婷！
1676443885,280.08400,致命节奏小子
1676443863,143.71600,这下老爷子大于耀光了(
1676443839,111.18700,老爷子军训年轻人
1676443714,317.34900,我 超圆
1676442100,623.59900,你所针对42的八秒，可是鲨鲨的全部啊
1676441768,280.33900,di
1676441504,133.67100,剧情里面说了爱可以成为将军的只是种族问题
