上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676628766,30,1458,False,False,知道为啥现在抑郁症那么多了吧？就是因为言不由衷的话说太多了
1676629704,4,800,False,False,其实只要你离职，背调背到前领导，80％的领导都会说需要考虑是否再录用，也没有寄语…
1676633685,4,272,False,False,我夸人有的时候真的是真心的，可不知道为啥说出来我自己都觉得是编的，主要就是那个语气和度难以把握，要么高高在上跟表扬一样，要么肢体语言很夸张像在捧杀[跪了][跪了][跪了]
1676629008,14,234,True,False,我好像就有吸贵人体质，但是好像没有吸女生体质。[大哭]
1676695017,2,71,False,False,好像本质就是不要看轻任何人以及多用点心对待
1676631379,0,100,False,False,我的脑子在思考这些言不由衷的场面话时会发烫死机[笑]
1676632101,9,75,False,False,我突然好奇，听说职场人都是工作到35岁就会人间蒸发，是真的吗(⊙x⊙;)
1676696515,6,17,False,False,我感觉就很奇怪 在外企公司实习 主管交代的事我可能做的不那么全面完美但是也有在努力认真做事 到圣诞节的时候也给准备了小礼物 而且一直都是很虚心很乐于帮助别人跟同事关系也不错 就不理解为什么之前让主管写一下实习协议的评价表她给我每一项都打了4分（满分5）。。不至于一个5都没有吧
1676633169,0,29,False,False,说的太对了 我就是遇见第一种情况的那种小辈 真的阴阳加嫉妒才会说出这种话 请那种不认可我的小辈远离我
1676735831,0,3,False,False,下意识反驳别人的人真的很讨厌，不管说什么都先“不是啦，是balabala……（其实是同一个东西）”还有问你事情还老打断你的，真的烦人。
1676686226,0,4,False,False,做事说话还是要给人留余地的好
1676682528,2,9,False,False,你们背调电话留的真的都是前领导吗[笑哭]
1676652225,1,4,False,False,感觉第一个回应很像是我能做出来的[笑哭]
1676689278,1,12,False,False,不是啊，这不算言不由衷吧，第一个你那样说话不就是在杠人吗？？？第二个你在社会这么对老板说话啊，谁这么直接？？
1677083805,0,0,False,False,卧槽，这个背调好可怕啊
1676635614,0,7,False,False,就是收着尾巴
1676953405,0,0,False,False,第一个事我感觉是两个结合体[笑哭]我真的会下意识提出些疑问，一是补充自我内部逻辑体系，二是好奇心和看看对方有没有面对突发事件的处理办法。然后我会再说“听上去也是很有用的我也要试试”并且夸夸对方[笑哭]感觉自己一直在高低情商间左右摇摆（且自知）
1676750207,0,0,False,False,[大哭]现实社会和别人交流也要开始叠加小括号了嘛
1676708057,2,0,False,False,现在普遍背调吗？跟领导吵过架，正好现在要找工作
1676695153,0,0,False,False,难道问临时工作她是怎么解决的不就好了？
1676679145,0,0,False,False,爱丽丝的衣服真多啊，作为老粉都没看过重样的
1676718777,0,0,False,False,宿舍里有那种说什么话之前都得先否定你一下的那种人，感觉自己特牛，什么都懂，我挺无语的，然后他说了半天，给我说的一个意思[doge][星星眼]
1676708532,0,0,False,False,真的是别人愿意给你意见听着不就行了，做不做还是你自己的事，还挑刺别人，日子过得太顺利了吗
1676643443,4,0,False,False,背调现在基本没有了吧
1676644178,0,0,False,False,谢谢美丽又善良的爱丽丝
