上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676728131,6,21,False,False,我和up主可以说非常像，我是江苏某211大学14年毕业的港航专业，在施工单位干了7年（国外打灰4年，现辞职回老家搞了个代建工作，上六休一），父母都是农民。趁着在老家的日子，找到了老婆，现在大环境不好，老家单位也在裁人，也希望继续过安稳的日子。我和up主价值观高度一致
1676732081,4,19,False,False,"我现在在宜昌市，去年12月份本地路桥刚招人，施工员一年收入为每个月3000的工资和500的公积金，以及年底2万5左右的奖金，这是6万7的收入，证书补贴是只要市政和公路，第一个二建是每个月补贴1000，第二个二建是500，一建是第一个1800，第二个900。假如同时拥有两个二建，意味着一年的收入就是8万5（包括公积金），平均一个月就7000，社保基数也不高，就4000出头，这个收入还不如我现在在本地的私企。
我原本的打算是29岁之前拿到市政公路双二建（已拿到）和一本市政一建，然后凭我有一个上亿项目从头到尾跟踪了4年的经历，去本地的一家国企或者城投混日子到死。现在看来，想保证进地方国企然后税后收入能有12万几乎是不可能的。
唉，现在也很迷茫。"
1676726135,18,24,False,False,哈工大 最烂的牌是去干传统火电[吃瓜]
1676856206,4,4,False,False,还有一张牌，就是另一半
1676792775,0,7,False,False,人类一思考，上帝就发笑[滑稽]
1676783177,0,8,False,False,这是真的，选择大于努力，但是当时咱不知道呀。我同学高考分跟我差不多，他选通信，研究生毕业年薪18w，现在更多了，公司还上市了。我做了老师，稳定地没钱。
1676768146,0,7,False,True,"根据自己的擅长和兴趣，再结合行业前景，不要被当前的岗位角色限制，多学习和模仿自己认为很成功的人
不一定正确，仁者见仁，智者见智"
1676725781,5,6,False,False,大一港航想转水文
1676725866,0,8,False,False,说的都很实在，虽然现实可能让人无奈
1676729540,0,7,False,False,准确说就是毕业后的第一份工作和5年之后的积蓄
1676727667,16,7,False,False,我去年土木毕业去工地带了半年。春节辞职回家准备跨考。压力山大
1676726256,1,5,False,False,纯纯力工[doge]
1676727085,3,5,False,False,工地3年，今年初转行。希望不是错误的选择。
1676726653,0,9,False,False,正土旗的也敢碰瓷正软旗的[doge]有点勇气
1676725533,0,5,False,False,新鲜的仔来报到了[星星眼]
1676725585,0,5,False,False,当时高考志愿电信计科通信自动化下面就是土木，得亏前面几个就给我拉进去了[doge]
