video_aid,爬取时间,video_cid,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
224006007,1676012339,1000485482,1675938650,1675938650,160,喵星人,10,833,313,2039,0,15278,528,782,290237,1,0,2446,532,0,5754,39061,922,1967,684268,5,199,14,-0.07142857142857142,-0.07142857142857142,0,。,0,0.8528819444444444,0.3212210574342828,0.0,0.0,1.048689138576779,79.62921348314607
651376509,1676012348,996399390,1675761300,1675691230,306,美食记录,7,3039,754,398,0,12567,224,85,150652,1,0,3143,790,0,433,13339,231,105,167848,6,620227,289,-0.0034602076124567475,-0.0034602076124567475,1,！,0,2.905648148148148,1.1653256731694392,0.0,0.0,0.1641025641025641,5.902564102564103
608757307,1676012356,991733105,1675428427,1675428428,721,电子竞技,11,6646,2626,2604,0,37367,569,1847,877215,1,0,6818,2656,0,2647,37959,571,1885,903649,6,3460420,1386,-0.0007215007215007215,-0.0007215007215007215,1,！,0,6.7584375,0.37955557476978946,0.0,0.0,0.8424242424242424,18.94848484848485
308927688,1676012366,996605898,1675804800,1675701348,111,出行,11,1037,67,4633,0,8219,173,689,61576,1,0,1727,112,0,7837,14250,246,1097,105412,5,9541,27,-0.037037037037037035,-0.037037037037037035,1,。,0,2.4023842592592595,0.07884034071474456,0.0,0.0,0.43548387096774194,15.169354838709678
609111898,1676012371,1000423269,1675939671,1675939671,202,美食制作,7,1197,429,713,0,11802,294,431,245817,1,0,1613,559,0,1237,18116,411,669,485711,6,1534808,158,-0.006329113924050633,-0.006329113924050633,1,。,0,0.8414351851851852,0.5960188585742701,0.0,0.0,0.5561224489795918,8.903061224489797
609004887,1676012379,1000104441,1675923721,1675923722,128,翻唱,8,1931,178,1369,0,6089,334,462,69459,1,0,6466,333,0,5670,27887,800,1513,237475,6,48285,97,-0.010309278350515464,-0.010309278350515464,1,。,0,1.0261342592592593,0.4559487265980772,0.0,0.0,0.9438202247191011,5.634831460674158
566532793,1676012385,1000540394,1675943906,1675943906,976,手工,8,2857,484,379,0,4712,196,102,55376,1,0,3467,610,0,511,6024,232,134,78663,6,137484,51,-0.0196078431372549,-0.0196078431372549,1,。,0,0.7925810185185185,3.160301069284621,0.0,0.0,0.7094017094017094,4.6581196581196584
906582199,1676012390,1000553131,1675940400,1675933084,410,改装玩车,10,1889,1452,2323,0,5601,206,573,52686,1,0,2213,1554,0,2452,6670,214,604,63365,6,381335,183,-0.00546448087431694,-0.00546448087431694,1,？,0,0.8332175925925925,0.3342613512654952,0.0,0.0,0.5403225806451613,2.3951612903225805
309121487,1676012396,1000323926,1675933098,1675933098,695,日常,11,1263,719,902,0,6073,647,969,113227,1,0,1513,795,0,1147,7388,768,1252,152559,6,2048237,355,-0.0028169014084507044,-0.0028169014084507044,1,？,0,0.9178009259259259,0.4037852940199554,0.0,0.0,1.4349442379182156,5.635687732342007
393873127,1676012404,992175351,1675479900,1675455984,830,美食侦探,8,52579,10866,9674,19,128968,2233,4351,1271536,1,0,52925,10944,0,9714,129816,2244,4409,1288838,6,1613922,265,-0.0037735849056603774,-0.0037735849056603774,1,！,0,6.163240740740741,0.3736604466341063,0.0,0.0,1.564,35.338
608872215,1676012417,994290179,1675578180,1675578180,781,校园学习,4,4992,1327,4804,0,30865,1590,1960,299602,1,0,5601,1442,0,5540,35505,1666,2248,334677,4,32834,7,-0.14285714285714285,-0.14285714285714285,1,！,0,5.025891203703703,0.12550799795228368,0.0,0.0,0.66,35.284
991278052,1676012446,994208993,1675574172,1675574172,146,单机游戏,3,4644,321,56913,0,15489,193,163,585445,1,0,6284,349,0,80404,20211,210,194,836552,2,5235,3,-0.3333333333333333,-0.3333333333333333,1,。,0,5.072615740740741,0.16711160572917141,0.0,0.0,0.6776859504132231,0.6859504132231405
479115110,1676012451,1000787269,1675962000,1675954620,236,电子竞技,11,1349,245,459,0,6238,223,455,63912,1,0,1830,306,0,689,9654,276,589,103484,6,322869,506,-0.001976284584980237,-0.001976284584980237,1,？,0,0.5839236111111111,0.7054293415479399,0.0,0.0,0.84,26.512
821594303,1676012455,999856376,1675916396,1675916396,567,美食侦探,12,1698,919,213,0,4865,335,61,54467,1,0,2074,1123,0,274,6065,390,79,74975,6,102438,57,-0.017543859649122806,-0.017543859649122806,0,！,0,1.1117939814814815,0.4700476910550192,0.0,0.0,0.8914285714285715,3.057142857142857
863980572,1676012459,997334022,1675761322,1675761322,222,短片·手书·配音,11,3548,350,2483,0,21505,359,159,175878,1,0,3828,364,0,2799,24043,373,176,196031,6,1771572,183,-0.00546448087431694,-0.00546448087431694,1,！,0,2.9066782407407405,0.6188535472097306,0.0,0.0,0.2619047619047619,13.561224489795919
651513231,1676012484,998626757,1675916099,1675843744,216,喵星人,6,1225,404,436,0,10622,221,630,98580,1,0,1414,471,0,572,13868,249,796,134821,6,179962,97,-0.010309278350515464,-0.010309278350515464,0,。,0,1.1155671296296297,0.3212210574342828,0.0,0.0,0.5069444444444444,33.791666666666664
309048461,1676012489,1000559582,1675945109,1675945109,233,日常,5,3587,80,553,0,8539,159,149,59628,1,0,5080,113,0,782,11971,199,220,89819,6,724001,310,-0.0032258064516129032,-0.0032258064516129032,1,。,0,0.7798611111111111,0.07265843813539288,0.0,0.0,0.14788732394366197,7.774647887323944
608964463,1676012494,997728500,1675994400,1675775379,382,手机游戏,10,16080,1575,10328,41,86064,3588,25895,791991,1,0,29892,2620,0,22314,169722,5529,43699,1677826,6,2510357,12,-0.08333333333333333,-0.08333333333333333,1,。,0,0.2094212962962963,0.8976760319112036,0.0,0.0,1.866,74.76
394013678,1676012508,999219220,1675862961,1675862961,202,科学科普,11,1467,1494,650,0,24132,1551,1544,365904,1,0,1502,1542,0,652,24787,1597,1599,385542,6,933087,168,-0.005952380952380952,-0.005952380952380952,1,！,0,1.7308680555555556,0.1371624822742053,0.0,0.0,1.552,21.812
266339822,1676012538,994191001,1675573397,1675573397,81,搞笑,5,7317,2034,9674,0,126669,4078,5611,1873223,1,0,7771,2190,0,11545,152254,4204,6007,2101347,2,264623,4,-0.25,-0.25,1,。,0,5.082650462962963,0.4964117830648453,0.0,0.0,3.32,148.812
906441430,1676012551,997253498,1675764000,1675758005,82,短片·手书·配音,8,33140,582,22790,73,65763,998,10132,494987,1,0,34470,596,0,23828,68159,1012,10526,520333,6,430492,340,-0.0029411764705882353,-0.0029411764705882353,1,！,0,2.876747685185185,6.079831932773109,0.0,0.0,0.5090180360721442,17.054108216432866
608775582,1676012565,991340768,1675411362,1675411363,68,影视剪辑,7,4147,1079,7026,0,37975,980,16996,885429,1,0,4320,1145,0,7451,39567,1019,17838,934342,6,10463,9,-0.1111111111111111,-0.1111111111111111,1,！,0,6.958368055555556,2.0439486849186954,0.0,0.0,0.594,76.918
