video_aid,爬取时间,video_cid,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
223934622,1676181921,997958615,1675685329,1675685329,217,综合,10,6040,1638,11872,0,44032,573,3867,313958,1,0,6222.0,1670.0,0.0,12326.0,45195.0,587.0,3964.0,322930.0,6,12583,103,-0.009708737864077669,-0.009708737864077669,1,。,0,5.747592592592593,4.164260208042229,0.0,0.0,0.5191256830601093,9.934426229508198
223956708,1676180638,996168513,1675742400,1675685626,371,手工,10,52685,5271,21177,6,256786,2202,4964,2199117,1,0,53631.0,5389.0,0.0,21698.0,261874.0,2255.0,5064.0,2259727.0,6,1723358,45,-0.022222222222222223,-0.022222222222222223,1,。,1,5.072199074074074,3.1442737189680843,0.0,0.0,1.088176352705411,46.33667334669339
223997552,1676179193,997499290,1675771908,1675771909,231,MV,10,2668,244,2144,0,6623,535,2599,92280,1,0,3781.0,303.0,0.0,2742.0,8577.0,598.0,3177.0,115969.0,2,2839,21,-0.047619047619047616,-0.047619047619047616,0,。,0,4.713946759259259,0.3014124845952781,0.0,0.0,0.42718446601941745,9.089805825242719
224006336,1676181215,999099417,1675858421,1675858421,1331,短片·手书·配音,11,2475,1444,4598,0,10232,320,265,289666,1,0,2826.0,1670.0,0.0,5329.0,11818.0,349.0,328.0,336814.0,5,97083,86,-0.011627906976744186,-0.011627906976744186,0,！,0,3.7360416666666665,0.21085491119195376,0.0,0.0,0.8,5.811764705882353
224007560,1676181891,999222236,1675863296,1675863296,267,MAD·AMV,8,4961,231,4884,0,10418,517,529,57768,1,0,6771.0,296.0,0.0,6763.0,14469.0,643.0,741.0,81523.0,6,628,12,-0.08333333333333333,-0.08333333333333333,1,。,0,3.6874421296296296,0.5857406832971439,0.0,0.0,0.40331491712707185,2.472375690607735
224050383,1676179051,1000743117,1675952691,1675952691,123,网络游戏,7,5909,233,4060,0,22548,504,6912,210624,1,0,6695.0,262.0,0.0,4747.0,26095.0,528.0,8013.0,242518.0,5,8167,41,-0.024390243902439025,-0.024390243902439025,1,。,0,2.6199074074074074,0.10887008939003283,0.0,0.0,0.3582887700534759,10.671122994652407
224059511,1676178589,1000572446,1675947235,1675946736,122,搞笑,9,945,223,19880,0,31838,227,112,1974956,1,1,1060.0,235.0,0.0,23863.0,36437.0,232.0,126.0,2338502.0,6,1262117,141,-0.0070921985815602835,-0.0070921985815602835,1,！,1,2.6777083333333334,0.6268656716417911,0.0,0.0,0.6232876712328768,11.13013698630137
224141828,1676179652,1001612643,1676023200,1676014728,1352,日常,11,4482,1158,2619,0,9520,451,3314,156476,1,1,5216.0,1341.0,0.0,3203.0,11679.0,512.0,3966.0,198235.0,6,762234,68,-0.014705882352941176,-0.014705882352941176,1,。,0,1.8107870370370371,0.013710756778973326,0.0,0.0,0.7289377289377289,20.065934065934066
224183836,1676179613,1002876431,1676091410,1676091410,237,电子竞技,11,3495,544,665,0,5777,519,181,82677,1,0,4163.0,579.0,0.0,784.0,7024.0,581.0,193.0,102993.0,5,14086,65,-0.015384615384615385,-0.015384615384615385,1,？,0,1.0208680555555556,0.16571696326154453,0.0,0.0,0.6900958466453674,6.095846645367412
224221985,1676180629,1003249148,1676107946,1676107946,71,日常,5,7153,499,10586,0,100888,439,532,453485,1,0,13756.0,903.0,0.0,18962.0,173701.0,734.0,1000.0,833375.0,6,73980,49,-0.02040816326530612,-0.02040816326530612,1,。,0,0.8412384259259259,0.07511076959670841,0.0,0.0,0.7097902097902098,54.57692307692308
