video_aid,爬取时间,video_cid,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数
651323332,1675999498,993377948,1675571700,1675518919,120,绘画,10,6947,702,3630,0,38558,981,3303,442466,1,0,7155,722,0,3780,40004,1003,3382,475598,6,1165141,86,-0.011627906976744186,-0.011627906976744186,1,。,0,4.951365740740741,1.0873671782762693,0.0,0.0,0.656,21.35
394062167,1675999510,998815139,1675845305,1675845306,448,美食侦探,12,1330,616,562,0,3846,318,435,60193,1,0,1473,678,0,636,4317,346,502,70815,6,241112,417,-0.002398081534772182,-0.002398081534772182,1,？,0,1.7847800925925925,0.6401083504576873,0.0,0.0,0.558252427184466,1.3640776699029127
481275617,1675999533,991910762,1675436309,1675436309,422,影视剪辑,7,12396,1863,23519,0,49395,976,8797,768174,1,0,12948,1966,0,24832,51066,1033,9212,815749,6,2634,60,-0.016666666666666666,-0.016666666666666666,1,。,0,6.518796296296296,0.00800043539784478,0.0,0.0,0.8997995991983968,55.42084168336673
266552434,1675999543,998913051,1675849419,1675849419,221,音乐现场,3,2313,1800,4653,0,12612,1040,3746,118533,2,0,2573,1948,0,5423,14212,1098,4146,138022,6,576681,2860,-0.00034965034965034965,-0.00034965034965034965,1,。,0,1.7375462962962962,0.6486688892109967,0.0,0.0,0.674,34.128
991384406,1675999570,994375708,1675589100,1675582043,539,财经商业,12,5969,1926,6813,51,92794,1017,3575,1094331,1,0,6068,1957,0,6872,93408,1030,3675,1108743,6,7113423,376,-0.0026595744680851063,-0.0026595744680851063,1,。,0,4.750810185185185,0.25955168184643757,0.0,0.0,0.99,35.016
991319323,1675999581,993636571,1675524536,1675524536,92,搞笑,11,423,494,1898,0,22238,980,187,451438,1,0,445,594,0,2140,25314,1009,199,484617,5,7669,4,-0.25,-0.25,1,。,0,5.498206018518519,0.7570104160747615,0.0,0.0,0.6112224448897795,13.158316633266534
991310318,1675999591,991099191,1675402667,1675402667,246,影视剪辑,10,8970,521,9904,0,29866,429,750,410951,1,0,9793,541,0,12615,33265,441,801,455669,6,743636,105,-0.009523809523809525,-0.009523809523809525,1,。,0,6.908842592592593,3.97878609310548,0.0,0.0,1.2534562211981566,27.410138248847925
864096097,1675999596,999860068,1675913618,1675913618,1133,网络游戏,10,5053,385,668,0,6955,388,191,111188,1,0,25739,1408,0,4796,38676,1061,1395,628044,5,2055,25,-0.04,-0.04,1,！,0,0.9951157407407407,0.23378625807073336,0.0,0.0,1.0594594594594595,2.6810810810810812
223769703,1675999618,992621379,1675503000,1675488130,751,财经商业,10,7597,2311,5151,0,40044,674,625,719780,1,0,7786,2357,0,5242,40852,700,649,738273,6,1021098,182,-0.005494505494505495,-0.005494505494505495,1,！,0,5.747893518518518,0.6536965136260642,0.0,0.0,1.3606060606060606,34.4
223823840,1675999627,991783871,1675422643,1675422643,226,职业职场,4,7340,171,6234,0,5483,1553,407,125189,1,0,8671,185,0,7329,6432,1756,483,141672,5,4590,73,-0.0136986301369863,-0.0136986301369863,1,。,0,6.678055555555556,0.1722964458485402,0.0,0.0,0.5210420841683366,0.19839679358717435
351529144,1675999638,1000017081,1675935000,1675921223,61,影视剪辑,11,2448,216,2083,0,6659,290,481,111739,1,0,4113,261,0,3466,11839,468,925,227872,6,71148,123,-0.008130081300813009,-0.008130081300813009,1,！,0,0.748125,3.7659623935598243,0.0,0.0,0.7922705314009661,20.106280193236714
481443334,1675999644,995582000,1675675800,1675667641,1102,人文历史,10,1812,1313,2441,0,10827,632,738,211808,1,0,1891,1410,0,2595,11350,654,798,225285,6,2042022,230,-0.004347826086956522,-0.004347826086956522,1,。,0,3.7481944444444446,0.37302662663224334,0.0,0.0,2.8211009174311927,14.53211009174312
948846012,1675999651,992691016,1675490417,1675490418,110,网络游戏,4,1479,359,5487,0,46332,381,2687,715333,1,0,1518,366,0,5661,47457,385,2769,744123,5,31135,23,-0.043478260869565216,-0.043478260869565216,1,。,0,5.893912037037037,0.22469817544795348,0.0,0.0,0.604,13.676
778740795,1675999659,990525539,1675395009,1675359368,614,科学科普,11,6919,10892,15339,28,180944,1346,1501,1502646,1,0,7017,11004,0,15717,184733,1368,1520,1535956,6,2193926,419,-0.002386634844868735,-0.002386634844868735,1,。,0,6.998263888888889,1.1750917819824909,0.0,0.0,1.3587174348697395,35.88577154308617
693753530,1675999672,992276206,1675477500,1675468438,95,单机游戏,10,24612,4076,18593,42,171439,1337,815,1010913,1,0,26354,4179,0,29809,178558,1360,845,1227484,6,2059847,359,-0.002785515320334262,-0.002785515320334262,1,！,0,6.043657407407407,0.3128861607453218,0.0,0.0,0.6533066132264529,16.470941883767534
864049798,1675999700,998753104,1675849500,1675843079,75,搞笑,6,292,93,610,0,24917,105,233,282396,1,0,319,101,0,764,28663,110,257,336931,6,1329968,207,-0.004830917874396135,-0.004830917874396135,0,！,0,1.7384259259259258,0.10163123032748926,0.0,0.0,0.9655172413793104,20.396551724137932
224025997,1675999705,999088862,1675857177,1675857177,131,小剧场,10,870,100,886,0,17147,155,157,158280,1,0,1098,213,0,3489,21234,158,188,436349,6,482902,201,-0.004975124378109453,-0.004975124378109453,1,。,0,1.6496296296296296,0.1620279631804067,0.0,0.0,0.5181818181818182,19.12727272727273
266255247,1675999709,992386966,1675477062,1675477062,113,单机游戏,7,3905,546,4299,0,44196,220,148,325032,1,0,4221,617,0,4875,48654,230,164,353405,2,5348,3,-0.3333333333333333,-0.3333333333333333,1,？,0,6.049155092592593,0.3128861607453218,0.0,0.0,0.4036144578313253,11.216867469879517
224064261,1675999715,1000509432,1675943139,1675943139,525,人文历史,10,1548,1433,1619,0,6787,633,358,147370,1,0,2137,1819,0,2373,9735,918,563,228124,6,582694,63,-0.015873015873015872,-0.015873015873015872,1,。,0,0.6548148148148148,2.1099290305003597,0.0,0.0,1.4190476190476191,10.86984126984127
224117904,1675999723,998119206,1675828800,1675801186,789,手机游戏,9,20497,5069,6301,98,43780,6530,4107,359722,1,0,22185,5355,0,6946,48646,6880,4476,398942,6,155986,87,-0.011494252873563218,-0.011494252873563218,1,！,0,1.9782754629629629,0.18454766070319994,0.0,0.0,6.292585170340681,91.31663326653306
436275788,1675999738,991966570,1675439566,1675439566,1599,出行,4,64695,28185,6592,25,93695,8583,3920,1400021,1,0,65172,28351,0,6617,94358,8620,3943,1419910,6,1702001,276,-0.0036231884057971015,-0.0036231884057971015,0,！,0,6.483472222222222,0.3022504373222092,0.0,0.0,7.014,73.062
478935509,1675999752,995511024,1675651435,1675651435,1109,桌游棋牌,12,10584,2234,14743,65,71585,1070,3003,824201,1,0,17159,3644,0,24291,115117,1505,4863,1227289,2,53431,14,-0.07142857142857142,-0.07142857142857142,1,？,0,4.031446759259259,0.11204200090273433,0.0,0.0,1.062,22.75
566344697,1675999763,993908662,1675559905,1675559905,199,鬼畜剧场,7,5531,796,5470,0,26328,368,4704,486130,1,0,5721,828,0,5704,27358,379,4867,505206,6,6667,40,-0.025,-0.025,0,。,0,5.090949074074074,0.15733452705139206,0.0,0.0,0.4810606060606061,43.609848484848484
906533565,1675999769,998262791,1675826280,1675826280,673,手机游戏,11,6938,507,2936,0,10872,561,2453,120492,1,0,8103,579,0,3519,12684,609,2880,137667,2,8809,2,-0.5,-0.5,1,。,0,2.007974537037037,0.10736172902619653,0.0,0.0,0.35135135135135137,7.805896805896806
609043649,1675999779,999655272,1675899615,1675899615,278,足球,9,1756,343,345,0,9731,307,103,99519,1,0,1924,353,0,378,10702,334,111,111324,6,498767,520,-0.0019230769230769232,-0.0019230769230769232,0,！,0,1.1593055555555556,0.2680628272251309,0.0,0.0,1.1971830985915493,9.964788732394366
608779420,1675999784,992306396,1675483200,1675473536,218,翻唱,12,19690,374,4298,0,17413,512,781,168061,1,0,20456,385,0,4523,18189,523,815,179278,6,297539,32,-0.03125,-0.03125,1,！,0,5.9789814814814815,4.927267943842529,0.0,0.0,0.2385542168674699,5.797590361445783
308825529,1675999793,991931610,1675418246,1675418246,65,网络游戏,9,15285,624,13563,0,53836,740,20686,621751,1,0,16008,633,0,14238,55818,755,21537,652294,5,286,4,-0.25,-0.25,1,。,0,6.730868055555556,0.1096985585841019,0.0,0.0,0.45090180360721444,32.49098196392786
351456442,1675999820,994404953,1675583444,1675583445,155,手机游戏,2,6160,206,7560,0,20913,738,2353,111688,1,0,8235,253,0,10492,28520,875,3052,147487,5,538,1,-1.0,-1.0,1,。,0,4.819166666666667,0.0849827898241305,0.0,0.0,0.9093333333333333,18.285333333333334
948661618,1675999830,988299427,1675562520,1675238787,64,汪星人,8,446,259,2279,0,28395,632,3739,515736,1,0,553,306,0,2685,34126,719,4467,611893,3,15469,106,-0.009433962264150943,-0.009433962264150943,0,！,0,5.061458333333333,0.9553626669578192,0.0,0.0,0.6527093596059114,28.43103448275862
351549864,1675999838,998064171,1675796161,1675796161,190,短片·手书·配音,4,7582,90,10862,0,21272,512,1195,137272,1,0,9594,113,0,13692,26237,572,1452,169701,6,2630,5,-0.2,-0.2,1,。,0,2.3573726851851853,0.6189737482742994,0.0,0.0,0.39944903581267216,11.586776859504132
351560882,1675999847,998894922,1675857600,1675857382,842,影视杂谈,12,1840,676,1024,0,10012,225,110,137023,1,0,2046,723,0,1141,11063,237,128,161045,6,270187,251,-0.00398406374501992,-0.00398406374501992,1,！,1,1.6463773148148149,2.1099290305003597,0.0,0.0,1.4356435643564356,36.386138613861384
948974986,1675999851,996264821,1675685216,1675685216,274,电子竞技,10,3216,784,2663,0,43369,524,416,540017,1,0,3336,790,0,2738,45520,538,437,577403,6,1136342,312,-0.003205128205128205,-0.003205128205128205,1,！,0,3.641608796296296,0.16616745936310418,0.0,0.0,0.5626740947075209,12.832869080779945
736427554,1675999859,997078640,1675764300,1675745241,210,单机游戏,7,611,344,5997,0,23751,534,598,306342,1,0,837,369,0,8641,27564,564,704,411748,6,576881,525,-0.0019047619047619048,-0.0019047619047619048,1,？,0,2.726377314814815,0.3128861607453218,0.0,0.0,0.9222972972972973,8.902027027027026
