爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677198269.2835395,694852237,欧洲“扫地僧”助力华为新员工,华为招聘,510459330,2,0,0,6,75,5,2,1636
1677198292.413271,267322061,【征兵】征兵到哪一步不能后悔？未授衔可以全身而退吗？,特种吃货Seven,286925403,92,124,0,98,1490,273,21,25399
1677198347.6124728,907361473,正确率18%的23浙江省考真题,公考讲师刘文波,613161302,2,3,0,18,28,4,4,1623
1677198358.728885,822305756,女人不管在哪里上班也要记住这8个道理,易缘老师,691475389,6,0,0,19,24,1,5,688
1677198400.884483,567305899,同事之间处理好关系很重要，请问你怎么处理与同事的关系？,金标尺面试观,1736468798,0,0,0,1,6,2,2,94
1677198412.1009903,224760645,Exce表格中，如何使用sumif函数进行跨表求和，并做静态化设置？,Office办公三剑客,2146236937,2,0,0,31,31,0,1,1011
1677198449.3251493,224767240,坚持读书2000天发现，人生变强的秘诀是快速放弃？,煮一壶酒的卢克,22001608,292,91,0,417,428,49,41,6638
1677198454.4399674,737293030,公务员职务职级并行后，任职年限已经足够了，为什么迟迟没得晋升？,老A讲晋升,1029508158,0,0,0,7,25,0,0,1100
1677198606.7856855,907312093,中央一号文件极致高效讲解（公务员事业单位考试通用，有讲义附赠）,公考阳焱,174873764,415,67,0,2497,1065,27,290,25894
1677198625.8922842,737311782,开除事业编制有多难,易缘老师,691475389,4,0,0,41,46,7,12,1320
1677198708.2121487,652264948,10省份放宽报考公务员35岁年龄限制,公考讲师刘文波,613161302,5,2,0,5,86,13,6,2535
1677198759.4514475,524798596,江浙真题7--如何处理“领导满意”和“群众满意”的关系,北楚公务员面试,1567582106,20,3,0,101,39,5,9,1893
1677198771.6023595,524777807,如何摆脱垃圾人际关系？分享一个“四字咒语”，把说你坏话的人的嘴，堵住！,葆二爺的读心术,14797570,57,3,0,224,488,29,22,5827
1677198791.7568083,609826433,这个上司，多少让人头大了，序号输入大法，赶紧收藏！！,秋叶Excel,480423911,2,1,0,43,113,2,2,2017
1677198815.894542,394850106,Blender中创建程序化得绳索桥,Blender最新教学站,350629248,2,0,0,26,11,0,0,268
1677198974.320522,737282572,你还在找背景音乐吗？这64首自带流量的BGM，赶快拿去吧，已经帮你分类好了,厦九九,686439082,0,0,0,7,5,0,0,83
1677198981.4493055,437366543,从一位普通设计师到最牛装配式设计公司，他们用技术预埋实现了三次逆袭,BIMBOX,76028355,10,1,0,13,27,10,2,1032
1677199074.392843,309768961,看穿那些假装欣赏你的人,老付聊职场,520810093,184,72,0,1088,1615,172,233,79698
1677199084.6627688,524861153,初级会计职称题库每日刷一题|对啊网名师 签字并盖章的人员,对啊网,32533840,0,0,0,2,18,1,2,303
1677199087.8202088,352304959,【对啊网】Excel小技巧——区分单元格红/黄小三角,对啊网,32533840,1,0,0,5,7,0,0,645
1677199105.215484,907319074,每日即兴英文演讲Researchers have found that spending money on others makes you happier,英文演讲爱好者Scott,508695150,9,0,0,7,41,2,2,492
1677199149.959218,907362612,ps混和器画笔详解,教ps的假叔叔,1290054818,10,2,0,32,59,0,3,1182
1677199200.7354817,309622938,Creo/proe血管支架，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,Proe与Creo产品设计,370547437,2,0,0,21,32,2,0,419
1677199296.1744487,394774930,【2023广东省考】申论押题手册！连续两年押中！,巨鹿公考,505013592,388,81,0,298,325,1331,11,7869
1677199731.0873632,992318010,近期写公文材料适用金句汇编，50句，word文件,职场学习小超人,650750845,2,0,0,27,29,1,1,1304
1677199763.6089149,694789832,避雷！向上沟通汇报常见的7个错误！,小弘哥和暮色里,522846737,3,0,0,19,25,2,2,1123
1677199778.937556,437328499,黄金回收，里面的门道你看懂了吗?,李想要理想官方,1132182566,8622,297,0,2493,40120,614,737,393066
1677199793.2930017,949865435,学会做销售想穷都很难,大咖言商,2080393565,0,0,0,4,3,0,2,88
1677199800.485774,779841231,五种小人领导，如何相处 #张燚伟 #智斗小人24策,张燚伟,690661734,4,0,0,11,15,0,0,589
1677199804.6931531,779680418,为什么你的手淘推荐流量，转化率那么低？,照顾酱,389838895,8,0,0,13,36,3,2,1435
1677199852.4034882,907327567,在门口单联开关上加一个插座，不砸墙不加管，只需换两根电线就行,勇哥说水电,595286379,3,1,0,11,49,1,1,1095
1677199881.9288635,267138368,我被末尾淘汰逼的掉了三层皮，为何还如此倡行呢？,许林芳管理思维,1226380111,3,1,0,19,46,3,8,1670
1677199888.1217175,992165361,学会这个心理博弈术没人敢再欺负你,易缘老师,691475389,4,0,0,58,82,3,10,1632
1677199888.227487,949739457,Excel技巧：随机数公式，生成指定范围的数据,Excel自学成才,431886272,25,0,0,79,238,3,5,2962
1677199923.8257992,992260211,新老师在学校怎么才能过得幸福？（同事关系篇）,君山老师,593644325,79,4,0,127,361,28,25,6441
1677199967.517799,652182123,小学？初中？高中？教师公招报名怎么选？,英语考编丫丫老师,487343546,4,0,0,12,21,0,4,1225
1677200007.1820068,437310142,报社，虽然年收入10万，但工作辛苦加班多环境差，只想提桶跑路,一不小心哥,574298442,33,1,0,16,156,42,7,5259
1677200015.3812706,267251665,考研失败，立马入职！从简历空白到满满一页纸，她的简历长啥样？,简历燕哥,437744066,28,1,0,227,97,18,10,1505
1677200025.6161659,992227390,饭局上领导让你买单怎么回应？,善酒酒399,244308626,24,2,0,221,673,14,7,8325
1677200027.7451591,949861100,用一个六边形，搞定你40岁前的所有工作选择问题,马力在知群,543931674,6,0,0,58,80,6,4,1280
1677200030.8820236,949648349,就业老师：面试被问”职业规划”，高分答案送上！所有岗位可用！,双门洞锴哥,129866811,95,79,0,560,360,22,16,5008
1677200049.2434678,479692787,李佳琦的这张PPT表格页，配色真大气！,邵云蛟,350176398,10,2,0,46,57,5,1,770
1677200093.9984434,652227000,想要让员工忠诚，除了金钱外你的情感付出到位了没有？,许林芳管理思维,1226380111,1,2,0,39,65,3,17,2550
1677200150.8596783,437361484,“一把手”一般会培养什么样的人？带你看透这个问题！,公务员干货,491307403,11,0,0,34,80,0,3,1723
1677200179.4117582,822327450,发财小电容！这种故障来多少干多少。显示屏不亮，轻松搞定！,华宇万维,109630783,1,0,0,7,24,4,0,374
1677200205.8527792,479738246,单位里不想受气你就要气场强大，四招见效！,刘老师职场与考编讲座,1849973655,11,3,0,87,107,10,16,2221
1677200224.189308,309825753,一道很难的甘肃选调生面试题目，你能答出来几点？,公考面试考官说,1485409299,51,1,0,110,184,21,23,5356
1677200230.3862555,652325692,比较万能的职业院校试讲导入～别再乱讲了！,你们的田老师,1817047180,4,0,0,24,39,3,0,494
1677200244.6654282,779735233,23年找运营工作不想被坑？这4类垃圾公司千万别去,运营喵和她的小伙伴们,405498033,3,10,0,47,51,3,6,1014
1677200247.8388777,267184398,400-信号放大电路中，三极是否己经导通的判断方法,电子电工黄超想,651321342,2,0,0,3,23,1,1,194
1677200248.954062,437303482,你真的会用IF函数吗？快来看看辛莱德怎么教你学会！！,秋叶Excel,480423911,4,1,0,40,107,2,1,2159
1677200254.1331255,779812810,旧的学历观念，已经不适合新的你了～,野生ceo大宝,430372013,120,62,0,572,1833,107,107,25308
1677200347.4529574,609733535,自动跳转的导航按钮,三秒Office,1887084784,0,0,0,2,17,2,0,151
1677200352.666118,394851047,手机进水,华宇万维,109630783,0,0,0,1,16,3,0,503
1677200369.963385,737161277,【Java高级】线上GC问题，技术专家如何分析，与面试很不一样,极海Channel,1525355,805,119,0,948,1240,350,109,29463
1677200376.1660762,694660824,被平级主管叠罗汉了怎么办,闪闪发光的老高,1663915898,39,7,0,191,306,35,37,11950
1677200407.6589837,737308987,“为什么相信我”，还有什么比实战成绩更有说服力呢？———花生十三实战成绩汇总,花生十三-公考行测,526410150,176,60,0,275,891,352,372,53671
1677200427.976086,482260346,20个自我批评存在问题｜民主生活会材料｜救急干货分享,做一只精致滴猪猪女孩,388433315,99,1,0,540,221,18,117,3389
1677200479.6639287,737194218,下属是老油条，为什不建议你直接开除？,产品老曾,1150472191,143,45,0,476,697,52,189,38737
1677200511.1546369,822171732,管理层如何避免自己被裁,许林芳管理思维,1226380111,0,0,0,23,32,1,5,1209
1677200614.4374366,992364506,出国打工拿身份？究竟什么是“身份”？拿到了我就是“外国人”了？基础知识讲解,艾伦老师是也,450930297,14,0,0,20,47,19,2,1300
1677200656.053115,822249209,多文字PPT原来可以这么解决吗？！【PPT改稿】,零一PPT官方,14842663,6,19,0,20,54,3,4,2061
1677200704.7824516,949627011,领导提拔一个人看的不是努力也不是结果,易缘老师,691475389,76,7,0,389,470,23,131,13749
1677201032.9490142,864731466,领导交给你和小王一项任务，你将自己负责的部分完成后交给了小王，小王完成后直接交给了领导，但是他负责的部分有错误，领导问小王情况，小王说是你弄错的，领导因此批评了,金标尺面试观,1736468798,0,0,0,2,6,1,1,343
1677201095.725422,224781681,公务员职务职级并行，无法晋升的几种情形,老A讲晋升,1029508158,2,0,0,11,54,10,0,1984
1677201186.775938,949706244,想做领导先学会这四个驭人手段,易缘老师,691475389,10,0,0,87,73,2,17,1402
1677201187.893075,524658204,撼！高级的PPT图文混排,彭棣PPT,454668114,0,0,0,9,9,0,0,268
1677201215.2845738,652243041,"智人永不为奴！头铁UP主单挑ChatGPT职场话题,评论区持续更新中...",大叔的车库书场,97212695,34,44,0,19,122,71,6,1907
1677201260.910601,992238194,这题不会，说明你还没掌握鲁滨逊定理,公考猫哥,470105125,6,1,0,39,29,8,6,1060
1677201360.1038263,652221105,做表表不行，玩梗第一名，10秒教你快速制作时间计划表！！,秋叶Excel,480423911,2,0,0,30,129,7,1,1422
1677201382.5150902,652187013,【2023广东省考】考前急救+10分，1招做对9道推理题！,巨鹿公考,505013592,107,104,0,292,166,123,44,4999
1677201390.6939845,524652417,请不要随便告诉别人你是公务员,易缘老师,691475389,0,1,0,8,31,2,3,762
1677201425.2247384,394632566,PPT里的重点数据，别再只会标红了！,跟我学个P,98812108,623,128,0,1899,1572,37,161,107529
1677201441.5560427,779705213,【闲聊】游戏开发来谈谈高中有辍学做游戏的必要吗,超级小華,933478,1666,300,0,1119,7927,563,480,113715
1677201488.2512589,822192879,粉笔选B，华图选C，猫哥选D，你选哪个？,公考猫哥,470105125,1,0,0,1,14,18,3,952
1677201558.2910855,694695132,他因削弱和直接否定论点，谁强？以这道四川省考真题为例,公考猫哥,470105125,3,1,0,17,15,32,5,1184
1677201909.9788644,567153369,可视化后的《孙子兵法》，更易读懂,巨蟹座哪有什么缺点呢,510832890,0,0,0,2,12,1,0,274
1677201931.3469696,779718305,初级会计职称题库每日刷一题|对啊网名师 经济法基础内容,对啊网,32533840,1,2,0,2,22,1,4,366
1677201955.8485465,822213360,【对啊网】Excel小技巧——Text的用法（三）,对啊网,32533840,0,0,0,4,7,0,0,344
1677201973.2793334,779717047,每日即兴英文演讲What is your dream job?,英文演讲爱好者Scott,508695150,25,1,0,12,52,6,4,737
