爬取时间,video_aid,标题,up_name,up_id,硬币数,弹幕数,点踩数,收藏数,点赞数,评论数,分享数,播放数
1677244035.1987016,609514389,职场饭局，如何让领导觉得你得体又大方？,温柔芝芝,491142309,260,61,0,3655,4842,57,149,63975
1677244035.5198758,779500470,35岁的人失踪了？不，他们还在！,野生ceo大宝,430372013,92,18,0,847,2568,111,157,42866
1677244035.8315804,779438156,《狂飙》张颂文一句话，缓解了我的焦虑,崔璀CC,524500054,306,15,0,1254,2726,33,251,36488
1677244036.129926,822027374,面试搞懂「面试五要素」，你就是面试官的“梦中情人”！,马力在知群,543931674,18,0,0,92,121,2,7,1737
1677244036.4877875,864581802,普通人如何练习大佬气场,闪闪发光的老高,1663915898,85,7,0,166,262,10,17,4471
1677244036.819516,394582318,教师掌握4大技能，主业副业两不误,苜蓿老师,23568088,172,8,0,613,771,49,38,14668
1677244037.094853,394508374,【公务员遴选笔试】被暴力拆除的对联，透露了一个基层真相,公选王-遴选翰林院,471911317,3,0,0,7,24,1,0,416
1677244037.378924,351741670,2.18遴选申论｜上岸捷径：体系化的转化为擅长的！！！,公务员遴选申论,1616372839,17,0,0,42,62,7,4,2414
1677244037.6834996,992086142,夫妻吵架，妻子跳湖拒绝搭救，很多群众围观，有群众报了警，你赶到现场怎么处理？,金标尺面试观,1736468798,0,0,0,1,6,1,2,363
1677244037.997258,479567881,俄亥俄州毒气泄露,公考李卜,38768544,2,1,0,17,37,4,2,1355
1677244038.321144,479604805,土木工程的难兄难弟：陕西二本，同宿舍6个工程造价女生，毕业5年后现状,那些无名之辈,295347600,64,89,0,93,1239,280,170,34581
1677244038.6589916,309503385,工作激励类相关材料写作适用，排比句汇编，40句,职场学习小超人,650750845,4,0,0,53,28,1,5,735
1677244038.932611,352096032,35岁后的职业生涯到底有多难,许林芳管理思维,1226380111,0,0,0,36,67,8,24,2964
1677244039.2300463,822063768,饭局上有人当众夸你怎么接话,易缘老师,691475389,884,155,0,6301,7173,296,476,138799
1677244039.5428526,737025091,如今社会，什么样的人最可怜？,公考干货君,473654149,16,1,0,50,73,1,9,1529
1677244039.8774097,309558862,【非常重要】人力资源管理问题，2.18日直播回放,花生十三-公考行测,526410150,123,45,0,120,357,71,51,11792
1677244040.1472247,737086789,领导让你回家和父母沟通棚户区拆迁，一个星期内必须要沟通好，你怎么办？,金标尺面试观,1736468798,1,0,0,6,11,0,2,242
1677244040.426046,224527942,想要升职就先学会摆烂,易缘老师,691475389,49,3,0,289,463,10,109,12876
1677244040.7802162,267121502,退役后户口本写什么？拒服兵役影响几代人？,特种吃货Seven,286925403,1113,548,0,673,12828,861,86,346985
1677244041.1314483,479573413,七天公考速成（不是），七天公考学习技巧，复盘技巧！,GreenDonkey学习,481425807,156,5,0,372,285,74,36,7025
1677244041.4241269,567011377,英文vlog｜500强快消外企日常｜转岗啦！,K袁园,23777298,93,3,0,92,305,94,13,8008
1677244041.763743,992095442,低学历如何通过找工作逆袭？面试上万人我总结了这3招！,职场教练Echo,1612114484,0,0,0,25,33,0,5,1274
1677244042.0483983,524578477,同事欺负你一定有领导在搞鬼,易缘老师,691475389,2,0,0,21,53,1,5,1443
