上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676364808,47,9060,False,True,当你们还在享受着复出的喜悦的时候，有些人却一回头只有一张黑白色的照片。
1676360748,30,6747,False,True,虎门销烟不是传说，那是血淋淋的历史
1676342800,33,8663,False,True,连高启强都不敢碰毒品，你什么档次啊，就敢碰毒品
1676358623,63,8322,False,True,中国还没吃够毒品的苦嘛？这才过去多久？就忘了？！
1676365080,25,3178,False,False,TMD，有吸毒的，就会有贩毒的，有贩毒的就会有被迫吸毒的人和缉毒警察，每个受伤牺牲的缉毒警察、每个被迫吸毒而落下症状的人，他们都有有家庭。我们tmd给你机会了，谁TMD给他们机会
1676367798,28,2660,False,False,你来云南看看 新闻上报道的只是一部分 有太多无名英雄 毒贩的黑恶灭绝人性 是无法想象的 罪孽 是罄竹难书的
1676369945,20,1219,False,False,拿狂飙的那个镜头是不对的，大哥和大嫂说的话不是他们道德底线有多高，而是手底下的人只要贩毒了就开始不好管了，因为贩毒是是暴利，手下的人会因为这点儿暴利越来越不团结，越来越不听老大的话，有个up主讲过他讲的比较透彻
1676385054,8,682,False,False,"凭什么每一克毒品背后的贪欲，都要用那么多年轻的心血甚至是生命去填平？
——《破云·吞海》"
1676380241,1,68,False,False,不是，除了当公众人物，你没有活路了吗？你吸毒，不就是没把“公众”这两个字放在眼里吗？！你去搬砖，你去铺路，你去清扫街道，做什么都能活，干什么非要回来？不就是想要钱吗？拿到钱你要干什么？继续吸吗？！[囧][囧][囧]
1676384572,3,191,False,False,浪子是轻狂的孩子，不是犯罪的孩子
1676298661,67,867,False,False,吸毒戒不掉的，那些没有复吸的极少，不是戒掉了，而是靠大毅力忍住了。你知道没有复吸的人临终遗言是什么吗？让我再吸最后一次[吃瓜]
1676354234,4,420,False,False,纠正一个小点哦，“一失足成千古恨”有下联，不是不存在，是“再回首已百年身”，“百年”是一个含蓄的对“死亡”的说法[藏狐]可以连起来念一念，这个下联是上联的补充
1676353727,15,396,False,False,我还看到有人说，他是帮助吸毒人员回到社会的，他说所有人都应该接受吸毒人员重新回到社会。我只能说，不是一线的缉毒警，从来无法感同身受，我有个朋友爸爸是缉毒警，她说她爸爸真的很痛恨吸毒贩毒的，因为有很多战友牺牲在贩毒的枪下。即使可以给他们一个机会重回社会，也不应该成为公众人物，带来糟糕的影响。
1676349898,7,147,False,False,娱乐圈里既然都是公众人物，建议所有人定期化验头发做检查，娱乐圈吸毒的乱象一定能有所改善[doge]
1676386033,3,67,False,False,不说明星，我就想知道初中生为啥都能有毒品？ 之前我读初中 同班的就叫我吃“肉”说的是能瘦！我知道他们那群人不是啥好东西，我就不吃！他们也不敢逼我，后来虽然不了了之了，但是还是觉得后怕！
1676356917,1,82,False,False,他们还能活着，这就是最大的机会了。要知道，那些保护我们的人他们随时都有危险，你们可曾给过他们机会？
1676360732,49,15417,False,True,浪子回头说的是浪子，不是毒子
1676304254,59,2657,False,True,"主动吸毒，惩罚太轻了！(这就有人敢吸毒的底气)
根据《治安管理处罚法》及相关规定，对于吸毒的人，处十日以上十五日以下拘留，可并处二千元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。"
1676374460,2,78,False,False,现在青年平均三观真的被带偏了   没有判断能力或者揣着明白装糊涂都一样   看着身边的同龄人人因为别人的三言两语就选择站在敌人的立场的时真的很无助   网络毁了一代人但网络让这一代的少数三观正的人知道自己不是孤身一人   只要有看得清大局的人在国就不会亡人民就还有希望
1676388293,3,22,False,False,禁毒是做的最正确的一件事。我外婆那栋楼，有人接到朋友送的西瓜，结果西瓜里面打了毒品，经过一些时间之后，最后一家子家破人亡
1676356062,2,112,False,False,给的机会就是还能在这个社会活着。但是不能作为公众人物出现
1676358436,8,43,False,False,现在的金三角不种罂粟了，改诈骗了，哦它们也不叫金三角，叫缅北、了（可能会有人杠只是一部分地区不是整个的）、我告诉你就是，没啥区别
1676357061,2,54,False,False,小崔还是挺敢说的！
1676441424,0,3,False,False,为什么不能容忍明星吸毒？我觉得很大一部分原因是因为明星的带头作用和宣传作用。现在很多人把明星当做偶像，当做自己的理想型。反过来想一下，如果你孩子的老师吸毒，你还会让这个老师来教你孩子吗？同理明星吸毒的带头示范作用要乘十倍。如果不严惩这些带头示范的人，只会有越来越多的人吸毒，只会有越来越多的缉毒警察倒在自己的岗位上。演员艺人戴上了明星这顶皇冠就要承其重，选择成为公众人物就要明白自己的责任意识和相应的义务。
1676376575,2,10,False,False,所以高启盛才死有余辜啊，一切冥冥中注定[无语]
1676361774,1,23,False,False,现在得给年轻的孩子树立正确的三观了！吸毒贩毒这件事不能让步！
1676353133,26,2219,False,False,吸，随便你吸，别™在中国吸，全世界随便哪个犄角旮旯都可以，但唯独我脚下这片缉毒警察誓死捍卫的土地不行[再见]
1676359041,4,26,False,False,明星赚那么钱管住自己是应该的[生气]
1676296326,31,4472,False,False,谁给过缉毒警察一个机会？
1676359516,25,669,False,False,"为什么不让吸毒艺人复出继续从事公众性质工作：
1吸毒复吸的概率非常大
2.其号召力很容易影响粉丝群体跟着吸毒
想继续干文娱影视工作，幕后台下都得是工种。别上台[藏狐]"
1676325204,36,1715,False,True,芒果竟然还请满文军参加歌手，这台真是无底线的。
1676360693,9,351,False,False,其实涉毒艺人是可以复出的￣ ￣)σ只要他她们把牺牲了的缉毒警复活就可以了，你看多简单的事儿！
1676384443,2,4,False,False,看到越来越多的B友知道鸦片战争的祸根是犹太人开办的东印度公司挑起的，越来越高兴[妙啊]
1676358508,8,184,False,False,狂飙演贩毒的那个人 之前是吸毒的  现在被发现 片段全删减了
1676358845,4,16,False,False,可以改行啊，送快递，代驾，送外卖，前提是别吸了送
1676335400,9,76,False,False,"缉毒警察能复活
涉毒艺人就能复出
[doge]"
1676450455,1,2,False,False,海南有个缉毒警，卧底十年收网以后以为能安安静静的生活，结果去年七月份被人割成了七份，寄给了他的家人还有单位
1676341752,1,20,False,False,那个都戒不了  毒品想都不用想
1676360990,0,57,False,False,吸毒可耻，明星吸毒就更应该抵制了，他们一天几千万的收入可都是资本带它们从老百姓身上薅的啊，而且作为公众人物没有自觉，踩着粉丝的爱用钱干吸毒的事儿，真的不配再复出赚钱
1676358010,5,54,False,False,每次我妈说我哥扶不起来的阿斗的时候，我心里就想，你可知足吧，你跟我爸这么惯他，他没染上吸毒和赌博嫖娼这些，已经算不错了～但是他是个酒鬼烟鬼……[喜极而泣]赌狗不可信，吸毒的就更别提了，这两个说能让人家破人亡都不夸张的。黄嘛，染了性病也是害人害己，之前我朋友他们那有个奇葩，嫖娼染了艾滋，然后婚前性行为，让自己女朋友怀孕后才告诉女朋友自己有艾滋，然后还要女朋友把孩子生下来，他女朋友还同意了，说给我们听的时候，我真是[辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛][辣眼睛]
1676364967,0,4,False,False,你可以重新做人，但绝不能重新做艺人
1676346715,1,17,False,False,抓毒贩最好是反恐部队来吧，只要有名单就行，不投降的直接突突了
1676353414,6,43,False,False,我之前有一个很喜欢的乐队，在她们不温不火的时候我四处安利，中途有个成员消失一段时间，公司和另两位成员对外宣称她是生病，后来才被爆出来是涉毒进去了…知道了我就再也没听过她们的歌了，看到有视频用她们音乐做bgm也是很快就退出来了（除了涉毒不能接受，还有点爱之深责之切的感觉），一开始还尝试过给大家避雷，但是太多人不在乎我也就放弃了，对她们的信息能躲就躲，可是最近我发现有人用她们的歌剪安欣和李响，或者是其他警察的角色，这个我真的超级接受不了[大哭]我承认她们很有才华，不然我当初不会那么喜欢她们，但是剪其他主题就算了，偏偏是因公牺牲的警察角色，我觉得真的很不合适，但是感觉还是有很多人不在乎，那个视频热度还挺高的。
1676357878,0,11,False,False,我不反对追星，我觉得把明星当做榜样去学习好的一面完全没问题，而不是无论明星做什么都不加思考的去支持
1676361457,1,38,False,False,你给机会了，那些失去生命的缉毒警察有什么机会再活呢，你们给那些失去生命的人机会了吗，对对对，缉毒警察只是失去生命？你们失去的可是圈钱的机会呀[微笑][微笑][微笑][微笑][微笑][微笑]
1676332126,9,138,False,False,娱乐圈，这个社会上您能想象得到的肮脏，全都聚集在娱乐圈。
1676366689,1,4,False,False,宁财神糊涂呀 我一直在等龙门镖局[大哭]
1676367107,0,14,False,False,谁给缉毒警察一个回家的机会？
1676379785,0,2,False,False,大麻在国外不是毒品那就去国外好了，在中国吸毒贩毒是不可原谅的想想历史上毒品带来的危害  想想那些牺牲在一线的缉毒警 说原谅的那些人真的应该让他们去体会一下
1676351922,0,10,False,False,"我的要求是复出一个吸毒明星，
一因为这个吸毒明星受到伤害或者死亡的善良的人复生或者得到补偿
二一百个牺牲缉毒警死而复生，
我没别的要求，每个吸毒明星如果能做到这俩要求我允许你复出，如果不能什么都不要想，没把你毙了就不错了[阴险]"
1676362540,0,3,False,False,"我们的国经历多少磨难。
若我不慎沾染毒品，我会选择努力戒。
还戒不了，那就潜入深山幽谷，世间无我。"
1676360465,2,21,False,False,不让吸毒明星复出，只是一个警告⚠️，让吸毒的人知道吸毒的严重性，没有需求，就没有贩卖
1676365347,1,3,False,False,吸毒和卖毒程度不同，但是卖毒和吸毒的性质一样，绝不轻饶。
1676344986,0,27,False,False,[大哭][大哭][大哭]给明星付出机会，那能让无数无名缉毒牺牲的警察和受毒家破人亡的人民群众活过来吗？
1676371005,1,3,False,False,胡锡进是不是该谢罪？
1676361691,1,13,False,False,人这一辈子会犯很多错，但有些错却不能犯，例如吸毒，明星有钱也许吸个毒还可以生活，还可以割韭菜，但普通人一旦沾毒就是家破人亡，自己死就算了，真的是要从人变成鬼，周围的亲朋友好友的生活必是被搅和的一塌糊涂。现实中接触的吸毒人员并不多，但所有的都没有落的一个好下场，家人更是受牵连。至于戒毒成功，查查数据就知道，沾毒再想断真的是难上加难，即便少数成功的多半身体也毁了，全身而退的几乎为零。而明星这种职业对青少年影响太大了，这样严格要求就是要告诉他们这个错坚决不能犯。支持吸毒者，绝不让复出。
1676384322,0,2,False,False,"可惜崔哥得罪的势力太大了。
难在媒体面前出头了。"
1676350819,1,19,False,False,除非人死能复生，否则别想复出[辣眼睛]
1676352286,1,9,False,False,再去看看网易云上宋冬野和他养的[脱单doge]吧
1676377526,0,2,False,False,我认为吸毒贩毒首先对不起祖先，其次在是吸毒贩毒的害处
1676361504,0,13,False,False,作为一名中国人！吸毒就是就是对不起祖宗，在亵渎祖宗！贩毒更应该诛九族！
1676360229,0,7,False,False,给“你们”这帮人机会，又有谁给那些砥砺前行的缉毒刑警机会，一帮子吸血的混蛋[吃瓜]
1676374270,0,8,False,False,对吸毒者零容忍！！！更不要说复出了，想的美！！！
1676379348,0,2,False,False,吸毒的都能复出，下一步是什么？杀人吗？！
1676379014,1,2,False,False,美已经立法，有些东西不算毒了！警惕帝国主义腐蚀
1676362543,0,4,False,False,是啊，想想缉毒牺牲的警察，对得起他们吗？
1676369004,0,5,False,False,可以去大眼看一下胡锡进和夹总，说要给那个吸毒人员含笑复出的机会呢[辣眼睛]
1676360225,0,7,False,False,我觉得还是可以给吸毒明星复出机会的，前提是他们能让缉毒民警们复活。
1676384738,2,3,False,False,笑死我了，居然有人觉得黑社会说不碰毒品是正能量？？
1676377672,0,3,False,False,在给xd的明星一次机会，那谁给那些失去生命的缉毒警察机会？深知缉毒警察的危险与不易，必须零容忍！支持吸毒人员改过自新，但是坚决抵制吸毒人员再次登上荧幕[再见]
1676368039,0,2,False,False,"吸毒一时爽，全脑火葬场。[灵魂出窍]
看起来正常，时不时疯狂。[灵魂出窍]
毒瘾逼人疯，戒毒伴终生。[灵魂出窍]"
1676351728,3,6,False,False,背景音乐为啥用的fake love啊[笑哭]，不合适啊这音乐
1676310512,2,10,False,False,乌鸦涉毒我是不意外的[doge]
1676368115,1,2,False,False,我阿姨他们还说人家改好了你们还骂人家，给人家祖宗十八代都恨不得扒出来，我当场就反驳他们，他们虽然不说了，但是一脸不在意，还笑我，我真的有一种很强的无力感……
1676369927,0,2,False,False,连高启强都不敢碰毒品，你什么档次啊，就敢碰毒品
1676454967,0,1,False,False,"不妨了解一下中华人民共和国禁毒法
http://www.gov.cn/flfg/2007-12/29/content_847311.htm
第52条：
戒毒人员在入学、就业、享受社会保障等方面不受歧视。有关部门、组织和人员应当在入学、就业、享受社会保障等方面对戒毒人员给予必要的指导和帮助。"
1676455584,0,0,False,False,"我发布了一篇笔记，快来看看吧
老高家有个规矩；
钱随便赚；
 但是毒品千万不能碰；
https://www.bilibili.com/h5/note-app/view?cvid=21846579&pagefrom=comment&richtext=true"
1676452450,0,1,False,False,高启强不碰毒品不是他有多正义，纯粹就是黑帮经营模式下加入毒品这个暴利因素帮派管理就会出问题最后导致内部瓦解，不要混淆概念了，
1676387954,0,1,False,False,吸毒是败亡的开始，全民禁毒是防止民族败亡必须坚持的。明星带有社会责任，涉毒就失去了责任，有机会做个普通人，但不能再做公众人物了。
1676437507,0,1,False,False,前面看到一个视频，一位被毒贩折磨了五个小时的禁毒警察浸满血水的警服。
1676388165,0,1,False,False,"禁黄，主要不是因为大镖客们，其实真要说你因为涉黄而导致自己染上疾病是自己的事情，而且婚后艾滋传染的比例没有涉黄的多(因为有婚检可以尽量规避一些风险)。而涉黄最大的受害者其实是涉黄链条下那些被利益捆绑着的受害女性(女性居多，鸭也有，但比率会小一点)。
涉赌，三大禁中相对轻一点的，但是这会间接导致一个家庭的经济破裂，不仅仅是因为出千的原因，有些人甚至连自己过度打飞机都控制不住(包括涉黄)，何尝控制的住不赌呢
毒也就不用我多说了，劫财劫色劫身体，让人失去理智，让大批人受害，而这三样最大的共通点就是涉黑，只能说懂的都懂。"
1676443758,0,1,False,False,别说没给机会，给了的，又不是不让他们工作不让他们生活，只是不让他们复出再做明星而已！！！！！！！！
1676434581,0,1,False,False,强烈要求将禁毒知识列入高考 英语也许一辈子用不上 但是不了解禁毒相关知识很有可能就会毁一生
1676380675,0,2,False,False,浪子是不受惯例习俗约束，可能稍微有点儿突破道德底线，但是不算太突破，有家不归的人。 指不务正业，有家不归，四处玩乐等年轻人也是二流子。但是还有流浪者和放荡不羁风流的意思，他们也配自称浪子？
1676435162,0,1,False,False,我有个同学在孤儿院长大，很可怜。他唯一值得骄傲的是他不是被抛弃的，他父母都是烈士。
1676395885,0,1,False,False,HDD为什么可怕，因为会勾起人无穷无尽的欲望，尤其是D品的欲望根本不可能被填满，被欲望控制以后，就会作出各种各样违法的勾当，就不止是D品的危害这么简单了。鸦片战争真的影响了很多，林则徐也非常伟大。
1676422676,0,2,False,False,支持零容忍，改过自新做普通工作不行吗，非得做演员，演员挣钱快，挣得多，普通工作挣得钱买不起毒品是吧？
1676448843,0,1,False,False,给它们看纪录片（中华之剑）后，看看它们是否能说出浪子回头金这句话不。
1676384027,0,2,False,False,涉毒人员绝对不可以重新复出上屏幕，绝对不行，重新作公众人物上荧屏就是不行！
1676386766,0,1,False,False,你可可以重新做人，但是不能做公众人物，大众不需要，需要重新选择一次，才选择做人的人[呲牙]
1676372754,0,2,False,False,复出机会？他要是愿意用自己的寿命换牺牲的警察回来，也只能当成赎罪而已[微笑]
1676385076,0,1,False,False,坚决杜绝毒品，珍爱生命，不只是珍爱自己的生命还有家人、爱人、缉毒警察和大家的生命。认真对待生活吧
1676382838,0,2,False,False,连高启强都不敢碰毒品，你什么档次啊，就敢碰毒品
1676388302,0,1,False,False,1840年。林则徐。鸦片。犹太人，十三行！！！[生气]
1676371039,0,2,False,False,不能再当明星≠不能再融入社会≠不能找别的工作，不支持任何违法和吸毒的明星复出，公众人物就要有这种铁律，长的好看、实力在线都已经不是必须的了，这点底线如果都没有，娱乐圈那才是真的完了，别说什么可怜，不违法不吸毒是活不下去吗？
1676384430,0,1,False,False,有时候虽然羡慕有的地方的福利，但是也很庆幸自己在一个没有毒品，没有枪支，治安很高的国家[脱单doge]
1676425715,0,1,False,False,对一切不法作为采取“零容忍”的态度，这是对作为广厦之荫先驱者的尊重，也是对人民的一个交代。
1676386051,0,1,False,False,碰毒还要求付出，给你个机会，一枪爆头，你能活，就让你出，有谁敢像个爷们一样来试试吗？
1676379010,0,1,False,False,"杀伤强抢，贩火爆投。
中国刑法，8大罪名，其中就有贩毒。
其他7种罪，那都是实实在在直接能威胁到受害人生命健康安全的罪名。只有贩毒，唯独贩毒，与它们并列。"
1676385400,0,1,False,False,吸毒的要可以复出，那缉毒警察能复活吗
