上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676284776,20,3825,False,False,姐姐在国内吃的时候，我感觉每一顿都好好吃
1676315037,12,458,False,False,姐姐可不可以试试在中国吃饭 用日语解说 反向加密（狗头捏）
1676284373,5,174,False,False,这家是深圳的珍庭吧，吃过味道不错，不过深圳同价位的潮州菜里粤海荟和嘉苑更好，大家有兴趣可以去试试
1676284190,1,42,False,False,今天可真是，难得的每一道都很值
1676283305,31,881,False,False,鸭母捏到底是什么啊？[藏狐]
1676283770,5,226,False,False,看了姐姐这么多条视频，这条视频是姐姐肉眼可见的吃的开心
1676284629,1,37,False,False,可以看的出来姐姐回来后说好吃的次数明显比在日本多了[doge]
1676283332,1,25,False,False,姐姐回国之后对美食的形容更好了[星星眼]
1676283882,3,23,False,False,姐姐，最近一定要留在中国富士山不稳定，要保证安全呀[委屈]
1676283102,0,21,False,False,中餐就是最dio的[星星眼]
1676285425,6,19,False,False,这家店的地址：深圳卓悦中心的珍庭！人均有点昂贵[doge]
1676283011,0,19,False,False,玲子，辣个让专业服务员都只能“对对对”的女人[脱单doge]
1676299645,0,17,False,False,有一说一，还得是中餐！！！
1676299250,0,13,False,False,还是中餐看着过瘾🤤
1676289934,0,14,False,False,[笑哭]中国菜就是又赏心悦目又份量给足，看着舒服多了
1676286691,2,40,False,False,你去番薯粥那家的时候我去这家，我去番薯粥那家你去这家。有点意思
1676283246,0,13,False,False,回国了，姐姐小心变胖，中餐太好吃了[星星眼]
1676285969,1,28,False,False,我好喜欢粉粿，以前在潮汕读书最喜欢就是下馆子，大排档的粉粿每家都有各自的特点而且还便宜，打包一份上晚自习贼香，香芋的好像糯糯的，但最喜欢的还是有一家阿姨做的菜脯笋干还有小虾干咸鲜脆糯口感和味道简直不要太丰富了[打call][打call][打call][打call]
1676285117,1,11,False,False,35分钟的我，有一个疑问啥是鸭母捏是啥[doge]
1676282900,1,10,False,False,这顿看起来好好吃啊[喜欢]
1676283736,0,10,False,False,本潮州人还没吃过响螺[妙啊]
1676301903,2,28,False,False,"深圳卓悦中心珍庭
碳烤响螺：980r
脱骨鹅掌：168r
菠萝九肚鱼：188r
金不换：220r
粉果：16r
粉肝：76r
甜品和汤不知道
另收10%服务费
人均900+"
1676283350,0,8,False,False,深圳，珍庭潮州菜
1676294500,0,9,False,False,潮州菜。明炉烧响螺！[大哭][大哭]姐姐真的好适合和食物语联动啊
1676339699,0,17,False,False,平时的好值有时候只是客套的值，今天的值一看就发自内心[脱单doge][脱单doge][脱单doge]
1676284222,0,7,False,False,潮汕人表示鸭掌是真的好吃！！超级香！！
1676282846,2,7,False,False,在深圳的好想蹲个店名，又怕过于大胆[藏狐]
1676286573,0,7,False,False,中国菜果然看着香多了，每一道都好馋
1676286718,0,6,False,False,今天就是好值的一天
1676297868,0,6,False,False,"潮汕人才懂的水果 ""油甘""😂油柑花胶汤"
1676302512,2,16,False,False,潮州人狂喜！！！姐姐要是寒暑假来潮州玩，我高低得去见你一面[打call][打call][打call][脱单doge]（带你去吃牛肉火锅）
1676283155,0,11,False,False,这家店看着就感觉好好吃啊 店名是啥
1676293936,0,5,False,False,还得是中国菜
1676298001,0,5,False,False,门口那两颗橘子树可以吃吗？[妙啊]
1676288967,0,5,False,False,这一顿按日料来算不得分成10人份儿啊
1676284762,0,17,False,False,果然还得是中国菜对我的胃[脱单doge]
1676296631,1,5,False,False,不通风，没除尘，没防潮，开灯容易看到灰[笑哭]
1676286558,0,5,False,False,还是国内的食物好[喜欢]
1676287514,0,5,False,False,潮香四海值得一试[脱单doge]而且我吃得起可以去偶遇
1676298392,0,4,False,False,求这家店！看着太好吃了吧
1676287005,0,25,False,False,这顿看起来好好吃啊啊啊啊啊
1676290440,0,5,False,False,2分14秒，懂了姐姐要和我过情人节[喜欢]
1676283359,1,11,False,False,中餐真的看着我就流口水
1676285581,0,4,False,False,在深圳逛了几天没逮到这个富姐姐[吃瓜]
1676284530,1,4,False,False,为什么不问问神奇的海螺呢？[星星眼]
1676288686,0,4,False,False,呀！！！姐姐也追伏黛cp好開心！！！
1676288958,0,4,False,False,不得不说吃虾饺时候嘴唇我好想啵一口[tv_委屈]
1676283231,0,4,False,False,"是很高档的潮州菜了
但是我没吃过[笑哭]因为我们最高档也就吃生的hhhhhh"
