播放时长,标签个数,硬币数,弹幕数,收藏数,点赞数,评论数,分享数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,存留时长,标签平均每个视频订阅数,up在最热前500条评论的回复率,up在最热前500条评论的点赞率,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_2,是否合作_1,有无简介_0,有无广告_1,弹幕模式_1.0,弹幕模式_2.0,弹幕模式_3.0,弹幕模式_4.0,标题样式_！,标题样式_？,24h播放增量
248,10,19299,637,12401,35382,1016,1877,6.0,509287.0,201.0,-0.0049751243781094,-0.0049751243781094,2.0636805555555555,3.270842240273621,0.0,0.0,0.3987975951903807,9.396793587174349,0,0,0,0,1,0,0,0,0,1,119787.0
789,11,2777,1007,835,17479,403,64,6.0,1293580.0,1816.0,-0.0005506607929515,-0.0005506607929515,2.0637731481481483,0.5668238817980642,0.0,0.0,1.1472081218274113,11.192893401015228,0,0,1,0,0,0,0,1,1,0,9240.0
427,10,2708,741,1766,22555,1663,586,6.0,5073441.0,794.0,-0.0012594458438287,-0.0012594458438287,2.065717592592593,0.1610017889087656,0.0,0.0,1.370741482965932,12.414829659318638,0,0,0,0,0,0,0,1,0,0,67593.0
87,11,5310,481,32600,164570,542,970,6.0,563119.0,299.0,-0.0033444816053511,-0.0033444816053511,2.065752314814815,0.6829511465603191,0.0,0.0,1.166089965397924,100.51903114186852,0,0,1,0,0,0,0,0,1,0,582285.0
564,10,1580,2999,2847,23088,2128,1359,6.0,2505140.0,542.0,-0.0018450184501845,-0.0018450184501845,2.066423611111111,0.1556658067076801,0.0,0.0,1.655310621242485,50.741482965931866,0,0,0,0,0,0,0,1,1,0,40403.0
470,11,5187,2613,2312,39396,745,384,6.0,1656208.0,305.0,-0.0032786885245901,-0.0032786885245901,2.0676851851851854,0.3735611555585507,0.0,0.0,0.8126463700234192,10.611241217798597,0,0,0,0,0,0,0,0,0,1,64172.0
441,9,42252,3510,3931,43302,1272,2872,6.0,285137.0,121.0,-0.0082644628099173,-0.0082644628099173,2.069722222222222,0.2041078712169374,0.0,0.0,1.1342685370741483,16.2625250501002,0,0,0,0,0,0,0,0,0,0,46526.0
104,11,1437,83,2010,4071,218,356,6.0,4575.0,6.0,-0.1666666666666666,-0.1666666666666666,2.071828703703704,0.5198979816191021,0.0,0.0,0.375796178343949,5.554140127388535,0,1,0,0,0,0,0,1,0,0,10948.0
270,9,6399,484,3691,18526,487,961,6.0,920938.0,211.0,-0.0047393364928909,-0.0047393364928909,2.0784837962962963,0.192846232179226,0.0,0.0,0.5462962962962963,8.256172839506172,0,0,0,0,0,0,0,1,1,0,33583.0
195,9,1825,481,1940,37634,381,664,6.0,842737.0,209.0,-0.0047846889952153,-0.0047846889952153,2.0796875,0.0292438138086174,0.0,0.0,0.2149532710280373,5.417445482866044,0,0,1,0,0,0,0,1,0,0,56843.0
