发送时间,视频内弹幕出现时间,弹幕文本
1677117509,15.72100,毕业两年看起来这么沧桑？
1676901591,539.49700,高情商，强悍的内心。低情商，跑的动力。哈哈哈
1676870131,181.22300,这就对了 
1676700650,32.93900,三峡大学！
1676617941,219.16300,不转行打灰是最后的归宿
1676615360,72.97900,人家天大的
1676604894,102.73700,躺尸是可以进体制内的
1676604868,92.67100,很多人并不想进体制内，没什么吸引力
1676598882,755.68600,土木需要信念
1676598854,738.28600,生命教练是个什么
1676598733,729.44700,真的很羡慕这种脚步能跟上梦想的
1676598687,694.66700,有能力确实转码比较好
1676598670,686.54700,痛并快乐着
1676598618,643.10700,逻辑好清晰
1676598535,566.16700,会讲故事是王道
1676598515,560.92700,建筑人pre能力拉满
1676598475,539.96700,受伤=证明我熬过夜
1676598451,533.16700,我穿的白衣服袖口都能黑
1676598427,526.10700,你是懂AI的
1676598420,525.14700,什么时候能让ChatGPT帮我们画图
1676598394,518.52700,CADyyds
1676598384,517.90700,熬夜画图真的会猝死
1676598375,515.10700,五年制不是规划么
1676598361,513.54700,五年制，朋友们都保研了而我还在读本科，谁懂
1676598338,512.78700,远离建筑
1676598332,512.00700,赞同赞同 建筑苦的要死
1676598310,501.78700,理科思维逻辑和文科感觉不太一样啊
1676598248,469.94700,死去的回忆突然攻击我
1676598199,431.66700,听起来感觉可以
1676598189,430.90700,能避免信息不对称吗
1676598175,429.00700,挺牛
1676598165,424.54700,这相当于公司内部就有信息系统同步信息？
1676598126,406.44700,财务部要预算么（狗头）
1676598055,365.60700,HR总是很会忽悠人
1676598001,342.18700,不得不说宝洁的产品越做越好了
1676597871,243.24700,多问问意见确实是很重要
1676597836,219.22700,你也可以不转行的
1676597826,217.44700,难道只有转行才是土木的归宿吗
1676597792,204.00700,原来BIM还有这东西
1676597741,194.42700,双非就业 好勇
1676597719,189.56700,好厉害
1676597696,170.68700,确实会很可惜 六年时间读的专业没用上
1676597649,153.96700,抛弃已经学了的研究生专业做HR值得吗
1676597557,104.42700,牛
1676597547,96.66700,建筑转产品要怎么转呢
1676597518,85.54700,进体制内吧
1676597509,82.56700,果然建筑逃离不了乙方公司
1676597474,66.02700,真的可以不实习找到好工作？
1676597445,55.96700,土建天坑无疑了
1676597388,30.74700,双非本科有救了
1676597341,16.14700,居然有我天大人
1676597604,127.30700,水利水电真的有前途吗，大三狗焦虑死了要
1677068743,46.50500,虽然不礼貌，但是小姐姐的交互水平应该不低
1676644644,397.60400,这个小姐姐有种很特别的气质，松弛又很有能力的感觉
1676598490,549.04700,要对自己有自信
1676597660,155.16700,都是为了混口饭吃 有啥值不值得
1676597428,51.90700,这转行跨度还挺大
1676597281,3.51900,建筑终于来了！！
