上传时间,回复数,点赞数,up是否回复,up是否点赞,评论文本
1676016487,86,28698,False,False,"电影里“一个月几百块你玩什么命啊？”
现实里“一个月不玩命少赚好几百块！”"
1676105922,25,3102,False,False,一个时代逝去的标志就是当它被浪漫化的时候……但首先，只有能留下来的才有资格被时间沉淀、冲洗，并不是因为古旧所以经典，而是因为经典才经得起古旧
1676042614,22,7129,False,False,"不心狠手辣怎么能独霸天下！
你罪孽太深 我今天要替天行道 。"
1676113937,27,2746,False,False,杀生为护生，斩也非斩人
1676112316,33,2423,False,False,酒肉穿肠过，佛主心中留
1676115120,12,608,False,False,开头那一幕我以为大师拿的双管猎枪[2233娘_大笑]
1676112289,8,781,False,False,得罪了方丈还想走？少林寺十八铜人！[tv_doge]
1676116073,18,374,False,False,一把剑救不了百姓，我要教更多人学剑，真是一个心怀天下的人，而且有具体方案
1676068675,13,801,False,False,中华文化，博大精深
1676107895,14,868,False,False,00:12  这是什么剧？哪个角色？演员是谁？
1676115855,10,84,False,False,不错！但世界非黑极白！沒有任何绝对的！无虽无虽无意逐鹿但却知苍生之苦！必须有人来惩罚恶人！但屠龙者终将成为恶龙！如初心不变才是真的英雄
1676115145,2,155,False,False,纵能力挽狂澜，乌龙狡墨的能力，也是无用
1676104178,7,210,False,False,风清扬老爷子！
1676112684,1,27,False,False,我吕布怎么不知道？潘凤是谁？[doge]
1676112970,6,64,False,False,封面是什么电视呀？
1676111655,2,33,False,False,蛇蝎缠身应还招，我佛慈悲亦惩恶！
1676113840,2,46,False,False,这人是不是演过青面兽杨志
1676442741,0,7,False,False,以前的剧，演员说台词都听着好舒服啊，可能是以前收音设备不行的原因？就听着很有质感，尤其古装剧里，有那种历史厚重的感觉。现在的剧，台词基本不会给我这种感觉了，最近的就只有三体的叶文洁（青年+老年）的台词声音会给我类似的感觉，一种娓娓道来的平静。
1676050703,1,66,False,False,[打call]原来我们的男主也能有这样的硬汉身材[doge]而不是胶衣
1676128526,3,20,False,False,BGM:破旧世界 --魔鬼花园
1676455704,1,2,False,False,渡五趣，定四正，归三悟。萨埵十二恶皆空！[脱单doge]
1676092586,1,40,False,False,有枪不用用武功，怎么成为一代宗师。
1676369076,0,2,False,False,一个国家的娱乐产业不太发达，这不是一件坏事
1676063060,0,36,False,False,″斩妖除魔，立地成佛″，意思是把你们都嘎了，然后我就立地成佛[doge]
1676465799,0,2,False,False,大丈夫生于天地之间，岂能郁郁久居人下
1676109289,4,125,False,False,"以前的台词：你罪孽太深，我要替天行道！
现在的台词：1234567，7654321
[doge]"
1676211581,1,8,False,False,我记得有部电影里面武则天，好像是刘德华演的狄仁杰系列，有一句话，我记到现在，若想成大事者，亦亲可杀之。真的太霸气了！！！
1676292798,1,4,False,False,"其实也不见得。上一代的电影人在还有梦想的时候，能拍出好片，现在的新一代电影人一样可以。
再让他们沉淀一会儿。"
1676112723,5,66,False,False,见义勇为，惩恶扬善，拘留14天
1676287466,0,1,False,False,"我发布了一篇笔记，快来看看吧
院外，还有好台词。院内就算了把。
https://www.bilibili.com/h5/note-app/view?cvid=21805658&pagefrom=comment&richtext=true"
1676372521,0,2,False,False,"玉可碎！而不可改其白！
竹可焚！而不可毁其节！
身虽死！名可留与竹帛也！
又何惧哉！"
1676090736,6,49,False,False,放的第一个是少林寺，当时全国卖八分一张电影票，票房是一个亿多
1676206333,0,6,False,False,大丈夫身居天地之间，岂能郁郁久居人下
1676105519,1,56,False,False,原谅他们是佛祖的工作，而我的工作是送他们去见佛祖
