发送时间,视频内弹幕出现时间,弹幕文本
1676440628,92.07100,哈哈哈哈哈哈哈哈哈笑死我了赏！
1676440593,70.99400,周周喵太疯狂了
1676350317,63.53900,冰河世纪
1676296144,23.73900,BT
1676277806,1.37200,噢玩kokioikpolpo4、11········-+
1676214616,108.00000,巨阳之没道理
1676175415,93.09900,这句真蚌埠住了
1676137252,0.66000,逆天
1676117701,102.50100,如果这最后一幕镜头一转，再放个合声大合唱版的 “诶 你好 哈哈哈” ，将会把整个作品带到新的高度
1676111870,17.63900,人直吃
1676101106,75.63400,哈哈哈哈哈哈哈哈
1676031661,29.73900,没道理
1676018067,45.77900,？
1675964897,12.99000,36只犬说话！
1675956134,54.50500,啊哈哈哈哈哈哈哈哈哈
1675941102,15.89900,顶级
1675940675,81.12400,纯黑子SASK
1676372216,36.27300,这里猜错了
1676177859,32.86200,哈哈哈哈哈哈
1676173265,25.23900,很逆天
1676101050,19.04200,哈哈哈哈哈哈哈哈
1675989271,1.75900,省流：完全一致
1675963100,46.16700,我以为刚子是为了救姿态
1675937765,13.41100,抢占空屏
1676440547,38.14100,我到了！
1676440529,25.31900,人只吃
1676092286,13.55300,00.
1676046859,2.65900,橙鹿
1676007095,76.34800,原声大碟
1676005251,33.38500,别动？
1676003476,19.85300,太抽象了
1675971205,19.49200,是人直吃
1675955886,46.19800,没哈出来哈哈哈
1675944306,95.29400,原声大碟
1676429999,59.61600,人直吃
1676255317,20.09900,这是人你们都直接吃好吧
1676250502,33.42500,我在靠 我在赶
1676105887,46.39100,我在看你吃
1676039387,3.55900,逆天
1676024510,83.62500,有当年五五开和pdd内味了
1676015787,38.14700,什么以德报怨
1676011344,25.66600,没道理
1675940467,105.78700,人直吃
1676373862,20.33700,阳没道理
1676066980,33.51300,怎么早上六点钟就有七只道格尔在看了啊
1676028043,4.55900,人直吃
1676024942,13.92900,6
1676019661,76.53900,我亚雷，这是鹿我直接吃
1676015274,20.25900,不像P的
1676000237,25.97400,笑死我了
1675992555,38.36500,他温我哭
1675960150,95.97900,能做出这绝活的，羊没道理
1676376408,66.01900,“神喵”逃亡
1676278629,33.52100,丢丢丢丢
1676263763,5.57700,这要是个人
1676259104,75.41000,我造‘
1676107298,48.94300,口舍  木不
1676092269,20.35900,可爱捏
1676039964,26.05900,66只igang在看
1676001622,14.96900,人直吃
1675959929,6.11800,能者先赏
1675938213,39.25000,泪目，亚雷妈
1676385956,77.49900,哈哈哈哈哈哈哈哈
1676342911,20.61900,人直吃
1676177570,39.29900,别动
1676104158,99.99500,这波属实首尾呼应了
1676101186,34.00100,我igang倍有面子
1676043742,20.50000,笑死我了
1676014958,26.61900,你好哈哈
1675983932,88.83800,此面向敌
1675943475,49.38400,《傻杯》
1675939157,6.22700,被骗了
1676278623,27.51400,hhhhhhh
1676254376,15.43000,？？？
1676090291,6.69900,邪念
1676018099,49.65900,好救
1676002904,35.26200,《别动》
1675963607,42.25900,他真的我哭死
1675953029,20.94500,hhhhhh
1676173282,29.23900,逆天的捏
1676136733,21.01900,哈哈哈哈哈哈哈哈
1675990550,36.07100,他真的我哭死
1675955621,21.83900,紧跟时尚
1675939171,7.29300,没道理
1676283896,107.47700,这真要封神
1676097449,13.33900,好活！
1676049350,22.18800,这个丢丢丢真蚌埠住
1676008347,50.01900,我也以为
1676007995,80.51500,这是人？
1676005184,11.62500,哈哈哈哈
1675996385,54.03600,性感气泡音
1675940689,95.01100,igang冲了SASK
