发送时间,视频内弹幕出现时间,弹幕文本
1676337308,49.34600,阿橙？
1676168826,50.96000,《会去采访》（doge）
1676129189,16.17900,手术很成功，但是病人不争气
1676113580,4.39000,指吓退本人
1676113149,50.37800,穿小鞋
1676109507,36.58900,《少处几个》？
1676108075,15.24000,哈哈哈哈哈哈哈
1676100125,64.09900,这个巧妙
1676097388,46.96300,狠人
1676094629,63.40200,哈哈哈哈哈哈
1676088972,26.99600,从不加班
1676080986,37.10600,666
1676078432,51.03800,你最好说的是鞋
1676072972,14.13900,没救活，出去跳一支舞，您儿子没整活我给您整个活（doge
1676052268,8.87000,我和你儿子只有一个活了下来，你猜是谁活下来了[doge]
1676045044,64.35800,？？？你要用什么染
1676035664,30.29500,《啊？》
1676024564,2.70000,省流：挺倒霉的
1676023995,62.42000,黄毛
1676023883,0.00000,B站经典一播放八个点赞
1676228357,38.30700,沸yangyang
1676107813,64.57800,哈哈哈哈
1676107030,63.32900,哈哈哈哈哈哈
1676100996,3.10500,后面的衣服还挺好看的
1676088559,63.39700,下一个采访的就是黄毛，哈哈哈
1676080312,49.15000,全体起立！
1676077313,51.30100,穿小鞋
1676073967,13.34700,这个姐姐眼睛弯弯好好看
1676065847,49.23000,灰姑娘的水晶鞋（）
1676058276,3.42200,意思是：没有如果
1676056357,31.90300,很漂亮的眼睛
1676056020,27.34000,满 门 忠 烈
1676024451,2.88500,吓退了当事人
1676437439,64.77900,哈哈哈哈哈哈哈哈
1676286765,2.14500,高启兰是你吗
1676124059,62.95700,哈哈哈
1676122021,4.19100,可以吓退我！
1676111416,4.41900,↓↑
1676089204,12.69500,你和别人打架了吗
1676087560,52.19100,？？？
1676069692,12.65900,你怎么敢假定别人的性别（doge）
1676066982,27.96600,好熟悉的口音哈哈哈哈哈哈哈哈哈哈哈哈
1676058985,63.32000,咋还call back上了
1676042590,40.42800,痛，太痛了
1676040357,40.92000,高跟鞋是吧
1676037417,49.09700,《肃然起敬》
1676034746,16.44100,超级加辈
1676024375,48.90500,肃然起敬
1676024221,51.50800,暗示投币
1676390156,62.69900,哈哈哈哈哈哈哈绷不住了
1676301713,62.76300,哈哈哈哈哈哈哈
1676225069,32.09800,这是小A？
1676126284,47.75900,穿小鞋
1676089059,7.54100,应该说，死者的情绪已经稳定了
1676079938,12.49800,手术非常成功，但是患者尽力了
1676070673,28.04000,劳务派遣
1676050833,47.23300,《当鞋合脚时》
1676041147,48.35300,男版灰姑娘姐姐
1676036863,11.37300,有文化
1676036346,65.19000,哈哈哈
1676034771,5.91900,6
1676025697,52.97900,穿小鞋
1676025502,4.74300,省流：你
1676024520,41.12800,信息量太大了
1676291074,10.69400,您的儿子没活了［doge］
