发送时间,视频内弹幕出现时间,弹幕文本
1676447410,184.94900,我退坑的有一点就是因为太阴暗了玩的生理心理上都累
1676447404,792.93600,这个确实！现在看别人玩塔科夫给没玩过的人一种反应，就是这游戏太难了，不想入坑！
1676447211,972.91900,根本买不到855a1，现在都只打喷子箭形弹
1676446750,305.54600,尼基塔之前就是外挂开发者
1676445831,376.47900,多西袋！
1676444337,823.93500,外国挂一样多，打俄服，给我穿死的，一把说的都是俄语
1676443527,507.20000,是版本我一个队友阿尔金在疗养院被一个M855子弹的挂哥洗了18枪头
1676443239,784.83000,njt不在乎国内
1676442969,611.39000,那b位置必bug拿不起来，njt现在也不修
1676442659,618.00300,哈哈哈哈哈哈哈哈哈
1676442549,333.50200,毛子黑客和外挂出名的厉害
1676442384,254.46200,疗养院小黑动不动就藏地上，屋子那么黑，没滤镜专门让雷达拿的是吧
1676442260,697.87400,碰到没有挂的局出来了
1676442064,89.07700,njt知道这bug触发条，自己玩的很嗨的
1676441878,936.23700,技术差，做不到呗。
1676441659,721.24200,连特么卷尺这种不值钱的东西也不能丢。。
1676441485,997.81800,尼基塔：我认为 全世界的人都不上班
1676441449,547.13300,不限ping就到处是G了
1676441389,901.50200,1000都算少了
1676441064,706.06200,这是变象买金，和tb一个样
1676440927,207.77900,好骂
1676440688,826.75100,给外挂制造市场
1676440634,820.90100,外国的挂钩一样多
1676440558,851.66800,陪玩笑疯了，15～20捡一次，玛得
1676440257,529.91200,小猫跑了估计有上百次灯塔了，污水厂就没见到过几次这玩意
1676439674,305.13500,这还需要证据吗？
1676439568,566.52200,哈哈哈哈 《傲骨》
1676439424,543.36400,实验室哈哈哈 神仙进货
1676439000,997.98900,njt巴不得都去用外挂，他好挨个封，封完又能赚一波
1676438995,923.46300,很明显不是想不到而是不愿意做
1676438904,787.67800,你看看现在NJT这么搞难道还有新人想你的游戏吗
1676438900,217.42400,伤眼睛呢，我调滤镜
1676438880,921.53900,尼基塔不敢捏19年整治被挂打了登录服务器搞了两天才恢复
1676438878,817.39400,挂多也单纯人口基数大罢了，看百分比全球都是五五开
1676438412,737.45700,发动态就没了不信，就像吧友说他没开挂被误封
1676438386,410.65300,萌新绿玩的终点是跑刀
1676438086,123.76700,别尬黑，开挂可比滤镜封的少
1676437783,494.31800,对我这种屯屯鼠子弹有多的，有啥枪用啥
1676437666,394.13300,以前跑刀太无脑了，直接冲，血都可以不加
1676437616,480.36100,打什么好子弹  弹鼓波波沙泼水不好玩吗？
1676437391,220.19000,主要我菜，都是调来打夜图做任务，白天没咋玩
1676437269,702.91000,anke接全皇冠被封了666
1676437245,735.44100,安可~~~~~
1676437039,499.81700,md阿尔金还没了之前还能有一战之力
1676436626,503.84700,外挂我只要进游戏你就死了
1676436598,275.13400,njt不是给你手电筒了不用在这喷没有意义，主要是njt也不听
1676436113,802.30900,外国游戏不会管你的
1676435972,763.15700,米尔也是，收入只够零花
1676435658,156.05900,去疗养院 时间长了眼睛会很难受
1676435647,475.81400,上次三弹夹A1进图就头眼，等三小时白买乐
1676435618,391.95500,这游戏对新人太不友好了 送的武器用都用不了
1676435562,402.60000,我现在跑刀2分钟都不到全图打我
1676435357,758.91200,外国看直播要购买订阅的
1676435257,933.39800,因为靠外挂赚钱
1676435237,489.13400,混装也不够用，顶多用两局
1676435160,430.99900,你把他子弹整没了干什么？
1676434991,70.12800,物理逃离了
1676434932,850.42400,档初灯塔显卡房刚捡到 一出门直接头眼
1676434833,143.39900,外挂就是njt自己做的
1676434751,728.86900,安可
1676434314,395.91400,跑刀仔才是真正的绿玩
1676433928,903.46800,夏尔巴没工资，考核也很严格
1676433886,483.26400,买一天 打一把
1676433701,579.39100,路人听了都会震惊的程度
1676433180,14.29900,还没开马我就想说《好骂》
1676433125,494.65400,尼基塔太混弹了
1676433086,613.11700,在现场
1676433081,530.47300,确实实验室出的比较多
1676432730,952.94200,就提就提，巴不得来点塔科夫竞争对手
1676432685,1006.25700,但凡塔科夫是个免费游戏或者100以内的游戏你说不玩，我可以认同，塔科夫都是富哥959块钱随便花？V我50好不好？
1676432658,846.65300,别玩这游戏就行了
1676432383,801.53300,退坑行不行
1676432369,787.63800,不玩成不成？
1676432014,457.79900,我现在都是打856a1，855a1根本不够
1676431930,904.74200,封一千个还能多卖一千个号，除非承诺挂不封号当我没说
1676431787,795.88300,主要全皇冠也不影响其他人啊
1676431777,876.36800,其实我之前有考虑过开挂的，但最后还是去玩了离线版
1676431645,233.85300,《我先买个白卡》
1676431554,764.10000,比如我
1676431337,856.80600,但凡把这些阴间改动的精力拿去管挂，都不至于被这么骂
1676431282,563.36900,说的我好心酸啊
1676431077,742.58500,安可
1676431066,897.97400,夏尔巴没工资的
1676430920,46.93900,tm他游戏里那个破夜视仪就只是和滤镜
1676430868,591.32100,我直接选择离线版
1676430534,465.99900,六个？顶多三四个小时，
1676430198,641.49100,上个档医疗包刷x 经常海岸线门没开 包摸过了
1676430159,648.48800,所以我不玩
1676430117,71.81900,hso
1676429876,487.76400,混弹，那真的就可能是差一枪打赢了
1676429810,287.70000,塔克夫我100看的眼睛疼
1676429759,876.45900,单反出个同类型的，哪怕更贵玩的人也得比塔科夫多
1676429736,768.13900,说管不到的，你以为之前说游戏号被封的是怎么封的
1676429719,326.94000,毛子确实干得出来
1676429394,945.60800,这比游戏排队五六分钟 进去玩三分钟可能人就没了
1676429146,773.23800,尼基塔早不在乎了
1676428930,850.53700,不让换摔炮这个我觉得是最离谱的
1676428893,839.27300,归根究底还是外挂问题，不封挂这游戏也快凉了
1676428652,953.41500,暗区起码不摆烂就想着赚钱
1676428461,908.49000,毛子经济衰成这鬼样，怀疑他们就是吃这口的
1676428045,995.73200,真正绿玩，再怎么样都不会开挂，只是挂钩自己安慰自己找个理由
1676427817,949.81400,隔壁匹配也不能打开市场啊只是隔壁匹配快
1676427761,843.38900,禁售摔炮
1676427640,570.07500, 求着挂给黑臂章
1676427587,674.55200,卧槽，这东西六百万，我跑了，我死了
1676427529,1000.84100,说句实在的，我当时玩不下去了，也想开外挂，但是退坑了，开挂就没意思了
1676427481,740.22200,可宝我的可宝呜呜呜呜
1676427444,670.27100,还没有中文时，我就是实验室陪玩，纯绿色，靠我自己手打
1676427430,578.87400,还去问外挂哪里刷这个东西 直接开不就好了吗？
1676427418,709.42700,凡是带点rpg性质的都有买金
1676427271,101.72700,没准修bug的人去巴赫穆特了
1676427239,251.27900,尤其是夜图，有月亮的时候白的和大白天一样，过时间就和关了灯一样
1676426397,31.83200,幸存数514好评
1676426325,732.56100,安可
1676426305,597.70800,这还不是njt的问题？东西这么难获取 又不管外挂
1676426281,583.01300,当猪杀了。
1676426109,729.99900,刚发完动态就被击毙了
1676426096,724.51900,安可躺枪
1676425978,908.21300,之前蹲着六人，一个壁跑到门口骂我一句跑了，当时我双手离开键盘的
1676425633,487.95500,我有囤子弹的习惯 855a1囤了6K发了
1676425625,796.08000,尼基塔又不管你国内玩家
1676425219,947.80800,yysy，可以提暗区，因为现在这个没法给东西的环境跟暗区快差不多了，虽然有专门的组队借用界面，但终究是“借”是要还回去的，队友带进去的东西也不能拿到自己手里，因为战局结束会直接邮件把物品返还好友
1676425216,915.73900,但是能让外挂收敛点
1676425093,338.42400,这个抖洗得 没绷住
1676424942,555.73900,前面不如去中东南非体验体验。
1676424894,888.50500,不，是每天都能封1000个哦
1676424762,824.95700,外挂已经泛滥成灾了
1676424555,505.31000,外挂直接莫辛lps一枪头耳或者下颚，四头都救不了你
1676424527,920.41000,前段时间战地1的大战最后是外挂赢了。。。
1676424453,393.77600,结果那个TTV的爹那个档要水友送钱才能玩
1676424401,461.67500,njt自己说的塔科夫不欢迎娱乐玩家，笑死
1676424315,402.37000,储备站当时就是公认的装备本，打架都是去工厂和lab。这样不是挺好的？打架的去打架图，起枪的去起枪图
1676424154,370.46300,从20年10月改成物品撤离上标之后买金的巨量增加，同时外挂从20年3月开始后第二次大爆发。纯纯不干人事
1676424105,562.06700,黑臂章哈哈哈哈哈哈哈哈
1676424039,671.36900,跑疗养院跑到30级 一把小黑没见过 全被吸走了
1676423929,361.16100,多喜爹
1676423912,413.50300,外挂拿7.62ps照样杀人，高级子弹难获取没影响
1676423269,362.29900,纯纯增加游戏时长 以前不办任务都能全装 现在呵呵
1676423235,984.80800,对啊，他就是不要这些时间很少的玩家啊，要的就是时间多的
1676423207,407.23000,其实刀仔多方便我做一些阴间任务
1676423200,15.97900,支持
1676423148,916.08800,njt：凭啥要听你的啊？
1676422941,941.05900,虽然不是在这ky，但是有一说一隔壁暗区都能做到的事尼基塔偏不，也真有他的
1676422729,536.35400,全设置杀AI就行了，为啥非得搞杀玩家的
1676422652,885.96500,实验室遍地都是大哥
1676422300,522.03000,变压器我挡初的时候在灯塔二厂蓝铁架旁边的破木箱子出过，后来不懂是什么就买大妈了
1676422131,868.57900,夏尔巴一样开
1676421946,406.91500,我也觉得恶心，刀仔太多也不好玩
1676421603,199.03600,骂有什么用，他又不听也听不懂
1676420978,545.72500,纠正一下，美洲以外的服务器都有怪东西。
